ID	释文
1	"收責報，會，月十日。謹以府書驗問，子都名親，　故居延令史喬子功
"
2	"□敢□
□己□□
麥□謹□□"
3	"上今
"
4	"三長徐宗　自言故霸胡亭長寧就舍錢二千三百卅，數責不可得。
"
5	"出錢　　買
"
6	"隧長徐宗　　自言責故三泉亭長石延壽茭錢少二百八十，數責不可得。
"
7	"第十六長□宣      鐵鎧二□□□□□
鐵□□鞮瞀□□□□□
□□□一□三□□□
□石弩□半寸，已亭      矢九十呼，未能會會日
矢十二□，未能會日
□□□□□干呼，未能會日
□□□□沿治未繕治 

"
8	"：故卅井候官令史，迺五鳳三年中為候官
□□□故甲渠候杜君掾廿□"
9	"甲渠官      高弘
十月庚辰門卒輔以來 

"
10	元延三年九月己未尉史□□
11	□甲渠候漢彊敢言之。府移書曰：戍卒
12	"令史慶
"
13	"亡　子
"
14	"□午朔辛酉，渠井長成敢言之。迺五鳳四年五月中除為殄北□塞
五年正月中授為甲渠誠北長，至甘露元年六月中授為殄北塞外渠井長。成去甲渠"
15	"今餘茭五千六百五十束
"
17	□□□嗇夫王光　十一月奉錢七百廿　十二月辛酉自取□
18	居延擊胡長孤山里公乘樂熹，年卅，徙補甲渠候史代張赦
19	"丑甲渠候長就敢言之。謹移
之"
20	來
21	甲渠候官候□□為居延都尉大
22	前取寧曰□日盡詣官□□庚午下餔入
23	鄣卒十九人　　鴻嘉二年十月丙辰，守閣
24	"札五通凡九通以篋封，遣鄣卒杜霸持詣□
"
25	"第十五長李嚴      鐵鞮瞀二中毋絮，今已裝
鐵鎧二中毋絮，今已裝
六石弩一緩，今已更      五石弩一左強三分，今已亭
矢十二干呼，未能會會
矢十三干呼，未能會會 

"
26	"蓬承六小各一寸
"
27	"□□□□吏毋得離署
告尉謂候長常勳等      ●一事一封 

"
28	長　朱　九月食三石三斗三升少
29	"●甲渠官綏和二年三月省□部　卒治大司農茭名
"
30	福等□循行□□
31	它為解如律令　　／令
32	□卒□□遂主傳馬三匹，佐一人，徒四人
33	"史商敢言之。爰書：鄣卒魏郡內安定里霍不職等五人□　□□□□敞劍庭刺傷狀。先以「證不言請出入罪人辭
乃爰書。不職等辭縣爵里年姓各如牒。不職等辭曰：敞實　劍庭自刺傷，皆證。所置辭審，它如　　（觚）"
34	"二月戊寅張掖大守福、庫丞承熹兼行丞事敢告張掖農都　尉護田校尉府卒人謂縣：律曰臧它物非
錢者以十月平賈計。案戍田卒受官袍衣物貪利貴賈貰予　貧困民，吏不禁止，浸益多，又不以時驗問
"
35	"十七卒衣倉　十二月二石
"
