Id	释文
1	令史……令史三人、尉史四人名如牒。請所用代钅主官
2	絝一兩
3	良敢言
4	"循到官，馮今月三日到官。問循到未，張掾言，钆長董放言循在＝
部。記召循<侯長政。言循"
5	□以便宜□□□……
6	亖月十五日治罷卒簿府，  亖月十五日罷。
7	新始建國天鳳上戊六年五月癸酉朔丁酉，甲溝鄣守
8	叩頭再拜，白薛卿坐前，善毋恙，頃得相見，
9	為岑多問李騎吏，周騎吏、李小使、郭小使，言
10	"馬建叩頭言：·使=再拜白，頃有善鹽五升可食
張掾執事毋恙，昨莫還白園事，云何充可不頃賜□·掾昨日幸許"
11	"葵子一升。昨遣使持門菁子一升詣門下受教，願□
逆使，昨莫取。白欲歸事，豈肯白之乎？為見不一<二，"
12	"出粟亖十二石三斗。   給食□□六人，六月乙酉盡九月積＝
二十一月六日，月二石"
13	故吏居延安國里公乘龍世，年廿五。今除為甲渠尉吏，代許昌
14	第十七候長使吏輸死卒馮未央裘絝钉履……
15	……  庚辰朔戊申，第十桼候長良敢言之。謹移卒輸官財用券墨如牒，敢言之。    連局令校。
16	"即日尉史萬發
門下"
17	 □□不能，奉言毋以明，書到，亟遣追捕，多吏卒
18	脩行……□□□年十八 ，  今除補甲溝終古钆钆長，  代張薄
19	□隧長猛如□謁報，敢言之
20	馬，約至居延，賈錢
21	德妻，疑德廑罪。神爵二年十一月丁卯，廷尉定國有□
22	"五鳳二年十二月己
迺十一月戊子病"
23	乘居延始至里，年卅
24	   第一
25	乘里吏
26	百，  候史安取
27	 入钇泉五萬九千九□
28	在檢中
29	 □□□
30	"二石□，正月□□盡八月，積七月
粟三石八斗□升大"
31	"盡壬辰積十日
盡壬寅積十日
盡壬子積十日
越塞天田出入迹"
32	"卒偃受臨木卒□
卒駿。界中廿五里，中程"
33	十六步，去南界□
34	□百六十八步，
35	□□辤曰；公乘居
36	今须集移府，課後□
37	郵書課
38	"   檄移部吏
□◆
   常會八月條"
39	"□□□□□范護自占書功劳
□造令史二月二十日"
40	"雞一枚
鹽少半升"
41	"     居延縣人，
為勞。
     屬後部。"
42	不侵
43	十九歲，長桼足
44	府移檄
45	□尉□史，令史□
46	  燔一積薪
47	上一苣
48	火地
49	□□□建詣閣□
50	居延中宿里鄭子登錢廿
51	□
52	死罪，敢言之
53	甚□□□得耳
54	针武
55	敢
56	以詔書增秩
57	酉朔
58	□為卿作
59	伐胡钆長程朢詣廷受奉，七月辛未平旦入。
60	第十七部甘露四年卒行道貰賣名籍
61	…… 頗知律令，文。年卅八歲，長七尺五寸。居延肩水里，家去官八十里。……
62	張長子孔……長子孟思子張子□
63	三百七十二□□錢……
64	"石自取。  卒……取
三石□取"
65	永始三年五月甲寅，尉史詣府治罷卒
66	"        ……□
尉史郭常 
        ……□"
67	  可繕
68	"蕭駿叩頭白：／馮
馮卿待辬足下，善"
69	"事叩頭，因言數□
今記言，釜當與張卿，今□"
70	"騎司馬順以秩次行都尉
私屬奴壽王諫殺人，已□"
71	"隻隻雙雙隻
甲渠守官謹為再拜奏雙隻雙雙雙雙
後厨掾多□留□奏"
72	"國天鳳一年十一月庚子朔丙辰，尉史尚敢言之，迺月十三日＝
到居延，將候長薌良及
業等還□蒼□，即日候長薌良，傅育，并妻業責已決。遣·钆長"
73	第三十二隊卒榮尊   辤
74	□□□□詔書過，記到，各推辟界中，具言，會十一月。
75	·凡出粟桼百一十一石亖斗□升
