ID	释文
1	四月辛卯，五月辛酉，六月庚寅，七月庚申，八月己丑，九月己未，後九月。
2	新降為漢。九月。
3	六年：十月戊午，十一月丁亥，十二月丁巳，正月丙戌，二月丙辰，三月丙戌，四月乙卯，五月乙酉，六月甲寅，七月甲申，八月癸丑，九月癸未小。
4	七年：十月壬子，十一月壬午，十二月辛亥，正月□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□大。
5	·八年：十月丁未，十一月丙子，十二月丙午，正月乙亥，二月乙巳，三月甲戌，四月甲辰，五月癸酉，六月癸卯，七月壬申，八月壬寅，九月辛未，後九月辛丑大。
6	·九年：十月辛未，十一月庚子，十二月庚午，正月己亥，二月己巳，三月戊戌，四月戊辰，五月丁酉，六月丁卯，七月丁酉，八月丙寅，九月乙未大。
7	·十年：十月乙丑，十一月甲午，十二月甲子，正月甲午，二月癸亥，三月癸巳，四月壬戌，五月壬辰，六月辛酉，七月辛卯，八月庚申，九月庚寅，後九月己未。
8	·十一年：十月己丑，十一月戊午，十二月戊子，正月丁巳，二月丁亥，三月丙辰，四月丙戌，五月丙辰，六月乙酉，七月丁卯，八月甲申，九月甲寅。
9	·十二年：十月癸未，十一月癸丑，十二月壬午，正月壬子，二月辛巳，三月辛亥，四月庚辰，五月庚戌，六月己卯，七月己酉，八月戊寅，九月戊申。
10	八月癸酉，九月壬寅，後九月壬申，六月病免。
11	二年：十月辛丑，十一月辛未，十二月辛丑，正月庚午，二月庚子，三月己巳，四月己亥，五月戊辰，六月戊戌，七月丁卯，八月丁酉，九月丙寅。
12	三年：十月丙申，十一月乙丑，十二月乙未，正月甲子，二月甲午，三月癸亥，四月癸巳，五月癸亥，六月壬辰，七月壬戌，八月辛卯，九月辛酉。
13	四年：十月庚寅，十一月庚申，十二月己丑，正月己未，二月戊子，三月戊午，四月丁亥，五月丁巳，六月丙戌，七月丙辰，八月丙戌，九月乙
14	卯，後九月乙酉。
15	五年：十月甲寅，十一月甲申，十二月癸丑，正月癸未，二月壬子，三月壬午，四月辛亥，五月辛巳，六月庚戌，七月庚辰，八月己酉，九月己卯。
16	六年：十月戊申，十一月戊寅，十二月戊申，正月丁丑，二月丁未，三月丙子，四月丙午，五月乙亥，六月乙巳，七月甲戌，八月甲辰，九月癸酉，後九月
17	癸卯。
18	七年：十月壬申，十一月壬寅，十二月辛未，正月辛丑，二月庚午，三月庚子，四月庚午，五月己亥，六月己巳，七月戊戌，八月戊辰，九月丁酉。
19	月癸巳，八月壬戌，九月壬辰。
20	庚寅，二月己未，三月己丑，四月戊午，五月戊子，六月丁巳，七月丁亥，八月丙辰，九月丙戌，後九月乙
21	■二年律令
22	以城邑亭障反，降諸侯，及守乘城亭障，諸侯人來攻盜，不堅守而棄去之若降之，及謀反者，皆
23	腰斬。其父母、妻子、同產，無少長皆棄市。其坐謀反者，能徧捕，若先告吏，皆除坐者罪。
24	來誘及為閒者，磔。亡之
25	賊燔城、官府及縣官積聚，棄市。賊燔寺舍、民[室][屋][廬][舍]、[積][聚]，[黥]為城旦舂。其失火延燔之，罰金四兩，[債]
26	所燔。鄉部、官嗇夫、吏主者弗得，罰金各二兩。
27	船人渡人而流殺人，耐之；船嗇夫、吏主者贖耐。其殺馬牛及傷人，船人贖耐；船嗇夫、吏贖遷。其敗亡
28	粟米它物，出其半，以半負船人。舳艫[負][二]，[徒][負][一]；其可紐繫而亡之，盡負之，舳艫亦負二，徒負一；罰船嗇
29	夫、吏金各四兩。流殺傷人，殺馬牛，又亡粟米它物者，不負。
30	偽寫皇帝信璽、皇帝行璽，腰斬以徇。
31	偽寫徹侯印，棄市；小官印，完為城旦舂
32	矯制，害者，棄市；不害，罰金四兩。
33	諸上書及有言也而謾，完為城旦舂。其誤不審，罰金四兩。
34	為偽書者，黥為城旦舂。
35	諸詐增減券書，及為書故詐弗副，其以避負償，若受賞賜財物，皆坐贓為盜。其以避論，及所不當
36	得為，以所避罪罪之。所避毋罪名，罪名不盈四兩，及毋避也，皆罰金四兩。
37	毀封，以它完封印印之，耐為隸臣妾。
38	□□□而誤多少其實，及誤脫字，罰金一兩。誤，其事可行者，勿論。
39	有挾毒矢若堇毒、1，及和為堇毒者，皆棄市。或命1謂鼷毒。詔所令縣官為挾之，不用此律。
40	？吏緣邊縣道，得和為毒，毒矢謹藏。節追外蠻夷盜，以假之，事已輒收藏。匿及弗歸，盈五日，以律論。
41	諸食脯肉，脯肉毒殺、傷、病人者，亟盡熟燔其餘。其縣官脯肉也，亦燔之。當燔弗燔，及吏主者，皆坐脯肉臟，與盜同法。
42	賊殺人，鬬而殺人，棄市。其過失及戲而殺人，贖死；傷人，除。
43	謀賊殺、傷人，未殺，黥為城旦舂。
44	[賊]殺人，及與謀者，皆棄市。未殺，黥為城旦舂。
45	鬬傷人，而以傷辜二旬中死，為殺人。
46	賊傷人，及自賊傷以避事者，皆黥為城旦舂。
47	謀賊殺、傷人，與賊同法。
48	鬬而以釰及金鐡銳、錘、椎傷人，皆完為城旦舂。其非用此物而2人，折枳、齒、指，胅體，斷决鼻、耳者，
49	耐。其毋傷也，下爵毆上爵，罰金四兩。毆同死<列>以下，罰金二兩；其有疻痏及□，罰金四兩。
50	鬼薪白粲毆庶人以上，黥以為城旦舂。城旦舂也，黥之。
51	奴婢毆庶人以上，黥𩓚，畀主。
52	鬬毆變人，耐為隷臣妾。4懷子而敢與人争鬬，人雖毆變之，罰為人變者金四兩。
53	妻悍而夫毆笞之，非以兵刃也，雖傷之，毋罪。
54	妻毆夫，耐為隷妾。
55	子賊殺傷父母，奴婢賊殺傷主、主父母妻子，皆梟其首市。
56	子牧殺父母，毆詈泰父母、父母、假大母、主母、後母，及父母告子不孝，皆棄市。其子有罪當城旦舂、鬼薪白粲以上，
57	[及]為人奴婢者，父母告不孝，[勿][聽]。[年][七][十][以][上][告]子不孝，必三環之。三環之各不同日而尚告，乃聼之。教人不孝，
58	黥為城旦舂。
59	賊殺傷父母，牧殺父母，歐<毆>詈父母，父母告子不孝，其妻子為收者，皆錮，令毋得以爵償、免除及贖。
60	父母毆笞子及奴婢，子及奴婢以毆笞辜死，令贖死。
61	婦賊傷、毆詈夫之泰父母、父母、主母、後母，皆棄市。
62	毆兄、姊及親父母之同產，耐為隷臣妾。其奊訽詈之，贖黥。
63	毆父偏妻父母、男子同產之妻、泰父母之同產，及夫父母同產、夫之同產，若毆妻之父母，皆贖耐。其奊訽詈之，罰金
64	四兩。
65	母妻子者，棄市。其悍主而謁殺之，亦棄市；謁斬若刑，為斬、刑之。其奊訽詈主、主父母妻
66	□□□者，以賊論之。
67	以縣官事毆若詈吏，耐。所毆詈有秩以上，及吏以縣官事毆詈五大夫以上，皆黥為城旦舂。長吏以縣官事詈少吏
68	[者]，亦得毋用此律。
69	諸吏以縣官事笞城旦舂、鬼薪白粲，以辜死，令贖死。
70	賊殺傷人畜產，與盜同法。畜產為人牧而殺傷
71	[犬]殺傷人畜產，犬主償之，它
72	亡印，罰金四兩，而布告縣官，毋聼亡印。
73	亡書，5<符>券，入門绎<衛>木久，塞門、城門之鑰，罰金各二兩。
74	盗書，棄書官印以上，？。
75	■賊律
76	盗贓值過六百六十錢，黥為城旦舂。六百六十到二百廿錢，完為城旦舂。不盈二百廿到百一十錢，耐為隷臣妾。不
77	盈百一十到廿二錢，罰金四兩。不盈廿二錢到一錢，罰金一兩。
78	謀遣人盗，若教人何盗所，人即以其言□□□□□及知人盗與分，皆與盗同法。
79	謀偕盗而各有取也，并值其贜以論之。
80	盗盗[人]。贜[見]存者，皆以畀其主。
81	受賕以枉法，及行賕者，皆坐其贜為盗。罪重於盗者，以重者論之。
82	徼外人來入為盗者，腰斬。吏所興能捕若斬一人，拜爵一級。不欲拜爵及非吏所興，購如律。
83	盗五人以上相與攻盗，為群盗。
84	知人為群盗而通飲食餽遺之，與同罪；弗知，黥為城旦舂。其能自捕若斬之，除其罪，又賞如捕斬。
85	群盗發，弗能捕斬而告吏，除其罪，勿賞。
86	群盗及亡從群盗，毆折人肢，胅體，及令跛蹇，若縛守、將人而强盗之，及投書、懸人書，恐猲人以求
