ID	释文
2	虜柅櫝五十，繩十丈，癸未行。
3	"第八
"
4	"一牒  。
十二月庚子朔丙寅，偏將軍"
7	今見泉千八百卅五。
8	歲，長桼尺五寸，练令。敦德亭間田平定里，去官二百二十五里。●屬敦德郡。
10	狀何如，此皆不以為意，欲與候長相委也。為人下常持
11	隊長㒼已到晆，審如記，候長當迎欽。閒者，諸吏不思
12	"候普白：具記之，它所欲，力所任，願聞之。迫不及一二一二，致自恧自恧。
左子淵，頃起居得毋有它？子淵舍中，皆毋它急。普屬從酒泉來，到會左曼卿，當
西候。倉卒為記，不及一二一二。前普所寄弓及鞌，幸為付左曼卿。來弓鞌皆"
15	干。
16	"
蒹棓廿。  斗        
小棓廿。      𦭡"
19	滿私王瓜一枚，重卅斤
20	亟下蓬、滅火，中部和，以北蓬燔薪如品，通
21	中時，以日入告。
22	千石
23	    直百亖十亖    直百五十六
24	膏餅一人，直六十
25	"
                                                 
元始五年七月甲午起大前都，"
28	"斤
十斤"
31	二月戊申，入東門
32	錢，願卿卿諸卿會日出
33	，謹案：戊
34	"
新
造"
37	旁使子男
38	"廩名
                三石，得二石六斗    亖年正月，得三石。自出。    六月桼日，從府貸一斛。
                八月，得三石。自出。                                                                       此亖月食。
                九月，得二石，少一石。自出。      二月，得一石五斗五升，候莊卿出。己未日，復一斛六斗一升。
                十月，得三石。自出。            案計三石八斗。
                十一月，得三石。自出。          …一石三斗三升。
                十二月，不得粟 。                    …    八升。           有教教。"
50	王習
51	"            七月廿二日，官止收。
 廣武候長馮尚，                從六月食，長穬麥十九斛八斗六升"
53	"願再拜白：
時曰在衣"
56	隧長，效穀閒田常利里，上牛康，年三十五。
57	以稱職，叩頭，死罪死罪。
58	士吏延壽在所。
59	斧鑿鉏，
60	"癸    癸
                        立冬
卯    酉"
63	"千秋  
……"
65	立遣守千人馮
66	▓玉門千秋隧。
67	▓干、幡，各一。
68	二月卅日
69	君卿還
70	候君卿
71	送稚主簿，    寄百七十四
72	求記叩
73	臨隧
74	"        
              瞿文 ，"
76	"       一。
   一。
       一"
79	為
80	十月去時，期遣使來，會十一月十日。今為責備，不到十一、二日，即
81	羸瘦困亟，閒以當與第一輩兵俱去，以私泉獨為糴穀，
82	即聞第一輩起居，雖煩後遣橐佗馳告之，竊慕德義，
83	少罷，馬但食枯葭飲水，恐盡死。欲還，又迫策上責，
84	憤甚憤甚，
85	在中，未與相見，其導讨人在泉都，期晦來，
86	多問陳司馬、𧣁司馬，願數數相聞，為檄欲移鄯善，毋使行也。
87	泉，此欲大出兵之意也。中軍募擇士桼百二十人，錫泉人
88	到，責未報聞，可寫下其奏以從事，不願知指，丿傳馬皆大齒，
89	逆虜，期於不失利。
90	臣厶前捕斬焉耆虜，地熱多阻險，舍宿營止宜於
91	二十六日，上急責發河西亖郡精兵    度以十一月
92	誠恐誤天時，失戰利，不敢入塞，從報鄣。
93	    欽將吏士，
94	故兵未在城。
95	當西從發軍，未出所過郡，安得未發兵？
96	故校騎稱：月八日發將八十六人，    令期胡十二日發。
97	西域都護領居廬訾倉守司馬  言
98	之張掖寧，發廬水五百人，功卿與同心士六十人，俱未有發日。此近謂第一部千八十人者也。議遣君威來出，
99	使者愚頓，過備非任，獲彌命，奏使尊寵，以誤
100	十月晦，關書大泉都，厶再拜言，
101	之茲平、大原郡，皆以故官行，名曰行部，胡譯長、諸導報
102	軍王游君、大司空大夫宋仲子、射聲校尉任巨通，
103	桼月晦日食常安中，陰雨，獨不見，故下
104	得毋病也。朱司馬及焦并還。未聞西方問不，云何行
105	東葉捷翖侯、故焉耆侯虜镣妻，即鄯善女。
106	今共奴已與鄯善不和，則中國之大利也。臣愚以為，欽將兵北
107	疌子、𧥵呼、郁立師、卑陸侯，皆舉國徙人民，
108	共奴遮逆虜，
109	寇車師，殺略人民，未知審，警當備者，如律令。
110	始建國天鳳亖年正月丁巳朔庚辰，使西域大使、五威左率
111	逆教遝所，況讓前，書到，趣治決巳言，如律令。
112	車師，略諸侯，欲以威西域。貪狼桀黠，狂狡尤為，諸國城亂，戊部眾
113	暴深人民，素惠共奴，尚隱匿深山危谷，
