ID	释文
1	制詔御史：奏年七十以上，比吏六百石，出入官府不趨，毋二尺告劾，吏擅徵召◇
3	變事吏上，毆擊之。召，爰書。變事痛所毆以不能言變事，皆大逆不道□□◇
4	民無爵裏名姓，吏擅事使，有行事穎川東鄉佐坐論◇
5	諸自非九月，吏不得發民車馬牛給縣官事。非九月時，吏擅發民車□◇
6	民占數以男為女，避更徭，論為司寇
7	吏金二兩，在田律。民作原蠶，罰金二兩，令在乙第廿三◇
8	坐贓為盜，在公令第十九丞相常用第三◇
9	不道，在御史挈令第廿三◇
10	赦，不得下蠶室，在蘭台挈令第□◇
11	◇□法，在衛尉挈令◇
12	代戶父不當為正，奪戶，在尉令第五十五。行事大原武鄉嗇夫□◇
13	長安鄉嗇夫田順徵召金里老人榮長，罵詈毆◇
14	吏部中有蝗蟲水火比盜賊，不以求移，耐為司寇□◇
15	流槐丞彭祖坐辭訟以詔書示之眾◇
16	◇鄉吏常以五月度田，七月舉畜害，匿田三畝以上，坐□◇
17	◇□□吏召無匿人□□□□□痛言
18	◇建武十九年正月十四日己亥下◇
19	士相見之禮
20	第三
21	"	士相見之禮。摯，冬用雉，夏用腒。左頭奉之，曰：“某也願見，無由達。某子以命命某見。”主人對曰：“某子以命命某見，吾子有辱。請吾子之就家，某將走見。”賓對曰：“[某]"
22	不足以辱命，請終賜見。”主人對曰：“某非敢為儀，請吾子之就家，某將走見。”賓對曰：“某非敢為儀，固以請。”主人對曰：“某固辭，不得命，將走見。聞吾子稱摯，敢辭摯。”
23	"	賓對曰：“某不以摯不敢見。”主人對曰：“某不足以習禮，敢固辭。”賓對曰：“某不依於摯不敢見，敢固以請。”主人對曰：“某固辭，不得命，敢不從！”出迎，再拜。賓荅拜。主人"
24	揖，入門右。賓奉摯，入門左。主人拜受。賓拜送摯，出。主人請見，賓反見，退。主人送，再拜。復見之，以某摯，曰：“曏者吾子辱，使某見。請還摯於將命者。”主人對曰：“某既
25	得見矣，敢辭。”對曰：“某非敢求見，請還摯於將命者。”主人對曰：“某既得見矣，敢固辭。”賓對曰：“某不敢以聞，固以請於將命者。”主人對曰：“某固辭，不得命，敢不從！”賓
26	奉摯入，主人拜受。賓拜送摯，出。主人送于門外，再拜。●士見於大夫，終辭其摯。於其入也，一拜其辱也，賓退，再拜。如嘗為臣者，則禮辭其摯。賓入，奠摯，再拜。主人
27	荅壹拜。賓出，使擯者還其摯於門外，曰：“某也使某還摯。”賓對曰：“某既得見矣，敢辭。”賓擯者曰：“某使某，非敢為儀，固以請。”賓對曰：“某夫子之賤私也，不足以踐禮，
28	敢固辭。”擯者對曰：“某使某，非敢為儀，固以請。”賓對曰：“某固辭，不得命，敢不從！”再拜受。∟下大夫相見，以雁，飾之以布，維之以索，如執雉。●上大夫相見，以羔，[飾][之][以]
29	布，四維之，結于面，左頭，麛執之。如士相見之禮。●見于君，執摯，至下，容送蹙。●庶人見於君，不為容，進退走。士大夫則鄭摯，再拜稽首，荅壹拜。●如他國之人，則使擯者
30	還其摯。賓對曰：“君不有其外臣，臣不敢辭。”再拜稽首，受。●凡燕見於君，必辯君之南面。若不得，則正方，不疑君。君在堂，升見無方階，辯君所在。凡言，非對也，爯〈妥〉而
31	復〈後〉傳言。與君言，言使臣；與大人言，言事君；與老者言，言使弟子；與幼者言，言孝弟於父兄；與眾言，言忠信慈祥；與居官者言，言忠信。凡與大人言，始視面，中視
32	抱，卒視面，毋改。眾皆如是。如父，則遊目，毋上於面，毋下於帶。立則視足，坐則視膝。凡侍坐於君子，君子吹〈欠〉伸，問日之早晏，以食具告。改居，請退可也。夜侍坐，問
33	夜，膳葷，請退可也。●如君賜之食，則君祭先飯，遍嘗膳，飲而俟。君命之食，然後食。授如有將食者，則俟君之食，然後食。如賜之爵，則下席，再拜稽首，受，升席祭，卒
34	爵而俟，君卒爵，而後授虛爵。退，坐取屨，隱辟而后屨。君為之興，則曰：“君無為興，臣不敢辭。”君如降送之，則不敢顧辭，遂出。大夫則辭，下，比及門，三辭。●如先生、與〈異〉
35	爵者請見之，則辭。不得命，則曰：“某無以見，辭不得命，將走見。”先見之。●非以君命使，則不稱寫〈寡〉。大夫則曰“寡君之恭〈老〉”。凡執幣，執幣者不 [趨]，[容][彌][蹙][以][為][儀]。[執][玉][者][則]唯
36	 [Z羊予舒戒〈武〉，舉前曳踵。凡自稱於君，士大夫曰“下臣”。宅者在國，則曰“市井之臣”；在野，則曰“草茅之臣”。庶人則曰“刺草之臣”。他國之人則曰“外臣”。    ●凡千二十字
37	▋斬衰裳，苴絰、杖、絞帶，冠繩纓，菅屨者。斬者，不緝也。苴絰，麻之有蕡[者][也]。苴絰大搹，左末〈本〉在下，去五分一以為帶。齊衰之絰，斬衰之帶也，去五分一以為帶。大功
38	第八
39	之絰，齊衰之絰〈带〉也，去五分一以為帶。小功之絰，大功之帶也，去五分一以為帶。緦麻之絰，小功之帶也，去五分一以為帶。苴杖，竹也。削杖，桐也。杖各齊其心，皆
40	服傳
41	下本。而杖者何也？爵也。無爵而杖者何也？擔主也。非主而杖者何也？輔病也。童子何以不杖也？不能病也。婦人何以不杖也？不能病也。絞帶者，繩帶也。繩纓， [Z條
42	屬。冠[六][升]， [外]畢，鍛而勿灰。衰三升，菅屨者，菅菲，外納。居倚廬，寢苫枕塊，哭晝夜無時。歠粥，朝一溢米、夕一溢米。寢不說絰帶。既虞，翦屏柱楣，寢有席，食疏食，
43	【水飲，朝一哭、夕一哭而已矣。既練，舍外寢，始食菜果，飯素食，哭無時。為父何以斬衰也？至尊也。天子，至尊也。君，至尊也。父為長子，何以三年也？正體於上，又乃】
44	將所傳重也。庶子不得為長子三年，不繼祖也。為人後者。何以三年也？受重者，必以尊服服服之。何如而可為後？同宗則為之後。何如而可以為人後？支子可。為所
45	為祖母母、母、妻妻、妻之父＝母父母、父母、昆＝弟昆弟、昆弟之子，若子。眾臣杖，不以即位。近臣，君服斯服矣。妻為夫夫。夫至尊也。妾為君君。君至尊也。女子子子在室為父，布總，箭筓，髽，衰，三年。●《傳》曰：總六升，長六
46	寸， [Z箭筓長尺，吉筓尺二寸。●繩屨者，繩菲也。眾臣者何也。曰：公、卿、大夫、室老、士，貴臣。其餘皆眾臣也。有地者也。
47	【疏衰裳齊、牡麻絰、冠布纓、削杖、布帶、疏屨三年者。齊者，緝也。牡麻者，枲麻也。牡麻絰，右本在上，冠者沽功也。疏屨者，藨蒯之菲也。繼母如母。繼母何以如母也？】
48	繼母之配父，與因母同，故孝子弗敢殊也。●慈母如母。慈母者何也？《傳》曰：“妾之無子者，妾【子】之無母者也，父命妾曰：‘女以為子。’命子曰：‘女以為母。’”若是，則生養之，終
49	其身如母。死喪之三年如母，貴父之命也。●母為長子。何以三年也？父之所不降，母亦不敢降也。
50	●疏衰裳齊、牡麻絰、冠布纓、削杖、布帶、疏屨期者。問者曰：“何冠也？”“齊衰、大功，冠其受。緦、小功，冠其衰。帶緣各視其冠。”父在為母。何以期也？屈也。至尊在，不敢伸
51	其私尊也。父必三年然後娶，達子之志也。●為妻何以期也？妻至親也。出妻之子為母期，為外祖父母無服。《傳》曰：“絕族無施服，親者屬。”出妻之子為父後，則為出無
52	服。《傳》曰：“與尊者為【一】體，不敢服其私親也。”父卒，繼母嫁，從，為之服，報。何以也？貴終也。
53	●不杖、麻屨者。祖父母。何以期也？尊也。世父、叔父何以期也？與尊者一體也。然則昆弟之子何以亦期也？旁尊也。不足以加尊焉，故報之也。父子一體也，夫妻
54	一體也，昆弟一體也。故父子，首足也；夫妻，牉合也；昆弟，四體也。故昆弟之義無分，然而有分者，則辟子之私也。子不私父，則不成為子。故有東宮，有西宮，有南宮，有北
55	宮，異居而同財，有餘則歸之宗，不足則資於宗。世母、叔母，何以期也？以名服也。夫之昆弟之子。何以亦期也？報之也。大夫之適子為妻。何以期也？父之所不降，子亦不敢降也。
56	何以不杖也？父在則為妻不杖。大夫之庶子為適昆弟。何以期也？父之 [所]不降，子亦不敢降也。適孫。何以期也？不降[其][適][也]。[有][適][子][者][無]適孫孫，孫
