ID	釋文
804	•令乙第
805	給候長
806	三月丙子
807	肩水金關金關今
808	皮氏【j左“镸”右“桼”】里王雷年卌八
809	"橐他通望隧長成襃
建平三年五月家屬符
妻大女觻得當富里成虞年廿六
子小女侯年一歲 ， 車二兩
弟婦孟君年十五 ， 用牛二頭
弟婦君始年廿四 ， 馬一匹
小女護惲年二歲
弟婦君給年廿五"
810	本始四年月申
811	朱督亭罷卒簿詣丞相史狄卿在所當舍傳舍從者如律令
812	積六十日到官除行道十日不
813	■右第廿六車九人
814	■右第十一車十人
815	戍卒穎川郡傿陵邑步里公乘舞聖年卅黑中長七尺四寸 ， ~
816	田卒穎川郡臨穎邑鄭里不更范後年廿四
817	田卒穎川郡長社邑穎里韓充年廿四
818	"使者一人 ， 假司馬一人 ， 騎士廿九人 ， •凡卌四人 ， 傳車二乘 ， 軺車五乘 
吏八人 ， 廄禦一人 ， 民四人 ， 官馬卌五匹 ， 馬七匹 ， 候臨
元康二年七月辛未嗇夫成佐通內"
819	出米七斗八升 ， 付北部候長襃食府君行塞積廿六人=三升
820	■凡出賦錢九十七萬七千三百一十六 ， 丿
821	子大夫可年十四長六尺黑色
822	車一乘•囚大男陳路四人•居延始至里梁削等卅四人
823	七月甲丙戊壬申乙丁巳辛卯丙戊寅凡十日壬毋北戊東南月八日九日十日十二日十四日廿七日廿八日有比日毋
824	肩水戍卒梁國睢陽同廷里任輔 ， 自言貰賣白布復袍一領直七百五十故要虜
825	縣遮里衛覓所論在觻得
826	長延壽
827	月
828	"居延令從史唐年卅二歲 
一匹牡駠駮齒七歲
三歲
七月己巳入"
829	"永光五年正月乙巳朔壬申肩水城尉奉世行
成宣等自言遣葆之官如牒書到出入如"
830	肩水都尉步安謂監領關
831	■右鄭子真八百
832	馬寫移書到如
833	"神爵二年十二月壬申朔戊寅將轉肩水倉令史
轉折穀就家縣名里雒如牒出入復籍敢言"
834	"七月己卯朔己丑守令史信敢言之遣佐世辟
過所金關毋留止如律令敢言之
忠丞安富移過所金關毋留止如律令"
835	"居延守左部游徼田房年卅五歲
軺車乘馬二匹駁齒五歲高五尺
三寸"
836	出麥二百
