ID	释文
1	"妻大女昭年
□              
     弟齊年廿"
2	□二月辛丑盡庚
3	居延都尉從史□
4	□□四月□□行
5	肩水金關
6	□元始元年三月
7	布帛錢子孫咸
8	記巾
9	"辛卯  丁酉  甲辰  庚
    壬辰  戊戌  乙巳  辛亥    
      □巳  己亥  丙午  壬子
            庚子  丁未建  癸"
10	"□□    □□
     庚子    丙午建
       辛丑            
       壬寅"
11	家中起居具
12	"□□□毋
  
       付君都"
13	肩水城倉出
14	候官
15	再拜請
16	    張威卿幸得□
17	"□君公叩
               
     □上□□"
18	"□厚恩叩
               
     □賜記□"
19	月己丑朔庚寅肩水倉
20	觻得富安里公乘召忠年五十八長七尺
21	□壬午廣地守尉□順移肩水金關名
22	□言
23	亡命□□就遝□□獄遣守尉萬年
24	□□□□
25	出錢千二百   □□□□□
26	□    十一月即為南入
27	乘田清東里程亘年廿六   長七尺二寸
28	章當欲裘徙恐吏簿聽辛丑去署亡褒□
29	昭武萬□里張光年卅五
30	水門隧長當乘始安邑夷胡隧
31	令史□□年卅五
32	"
                         
    吏所葆名縣爵里年姓如牒書到"
33	子  酉  午  卯  子  酉  午  卯  子  酉
34	□酉十日食一牒書實敢言之
35	   凡一石七斗四升以食亭吏一人九月癸酉
36	關嗇夫□
37	肩水候官
38	候長周□
39	"地節二年十月庚寅朔庚子榮昌鄉佐弘敢言之脩正里公乘
年爵如書毋官獄徵事當得取偃檢謁移過所縣邑如津    
 敢言之十月庚子平陵令湯守丞調衆移所縣邑如律"
40	章曰平陵令印
41	"□苣火所起何所苣火也使傳行

   持奉賦籍來何難也使騂北卒"
42	□急之
43	"隧長屋蘭大昌里丁禹  未得地節二年正月盡九月奉
                                                 
    □六月己巳除     已得都內賦錢五千四百"
44	申朔辛巳茂陵令  獄丞福□□□□鄉□
45	"□□都尉張功子記充史三人□□衣□
                                  
  □□幸時使吏存問□□□□"
46	凡取一石豆
47	始四年計乘所占馬一匹軺車一乘
48	驛小史傳  麥一石八斗候稟鄣  麥一石七斗四升候稟
49	"入□一直八百    入□  
                           
   入□一直千五百   入□"
50	田卒梁國睢陽館里彭廣年廿七  庸樂□
51	戍卒鉅鹿郡南[Z“蠻”上部分]武安里戍平
52	戍卒東郡畔大曲里單地餘  有方一
53	  庸睢陵里張定年廿四
54	賤更充國伏地
55	元年八月
56	□月辛巳入  六月丁丑出
57	望遠卒史異衆   有方一
58	隧卒張駠
59	樂哉隧卒索充
60	大河郡東平陸合里單當時年卅六
61	兩    卩    大刀一劍一楯一
62	 軺車一乘馬一匹
63	□□年卌五長七尺二寸黃色
64	觻得騎士長壽里冀兵
65	充宗證謁報府敢言之
66	陵孔街里史傀  大車一兩□
67	迺甲申直隧長觻得萬金里邴種已廣野隧長屋□
68	主倉長司馬君家□□非食不見略
69	李虎等卌六人皆
70	□□出力牛六
71	三石承弩一
72	國□□□□之□毋財
73	"□鄉佐勝敢告尉史常平里不更陽隻年卌歲正奉占自言
 
     謹案隻毋官獄徵事當得傳□謁言廷移過所縣邑津關"
74	□
75	已成未成簿一編敢□
76	寄   有方一  三石承弩一
77	地節四年八月十日長安平都里李子宣
78	知責家中見在者處□□
79	□候事敢言之謁尉□
80	□徐以既知而□
81	□□三直三百□
82	□□□□
83	月丙戌朔戊戌東鄉佐赦敢告尉史溫城陬里張調自言取傳以令□
84	"
                                          
    □□事當為傳移過所縣邑侯國以律令從事□□"
85	□百  葱子韭子各
86	肩水候官
87	"元始二年十月己酉朔丁卯居
                         
 遣佐楊戎當舍"
88	肩水金關
89	"□護民田官居延都尉嘉甲渠□□
 
                                □錢□"
90	□罪敢言之
91	戍卒趙國易陽長富□里公乘董故年廿
92	長安利成里韓□
93	自言為家私市張掖□□□案毋官獄事
94	充令史尊佐奉
95	□□
96	繇一為家私市當
97	四月乙丑東中時卒
98	□付府
99	□隧卒歐吉三月□
100	今爲右大尉肩水候官（削衣）
101	"元始五年四月乙未朔
 □             （削衣）"
102	一月  子  丑  寅  卯  辰  巳  午  未
103	  二月癸丑入
104	□長李樂十二月食
105	齊者有毋十□
106	亭具椎連梃各廿十柯皆長六□
107	    稟驩喜隧長□
108	□四年八月□
109	毋留
110	隧長屯
