ID	词号	词	词性
2	1	以	连词
2	2	爲	动词
2	3	也	助词
2	4	。	标点（符号）
2	5	上義	名词
2	6	爲	动词
2	7	之	助词
2	8	而	连词
2	9	有	动词
2	10	以	连词
2	11	爲	动词
2	12	也	语气助词
2	13	。	标点（符号）
2	14	上禮	动词
2	15	爲	动词
2	16	之	代词
2	17	而	连词
2	18	莫之應	名词
2	19	也	语气词
2	20	，	标点（符号）
2	21	則	连词
2	22	攘臂	l
2	23	而	连词
2	24	扔	动词
2	25	之	助词
2	26	。	标点（符号）
2	27	故失	名词
2	28	道	名词
2	29	矣	助词
3	1	而後德	名词
3	2	，	标点（符号）
3	3	失德	名词
3	4	而後仁	名词
3	5	，	标点（符号）
3	6	失仁	名词
3	7	而後義	名词
3	8	，	标点（符号）
3	9	失義而後禮	名词
3	10	。	标点（符号）
3	11	夫禮者	名词
3	12	，	标点（符号）
3	13	忠信	名词
3	14	之薄	名词
3	15	也	语气词
3	16	，	标点（符号）
3	17	而亂	名词
3	18	之首	方位词
3	19	也	语气助词
3	20	。	标点（符号）
4	1	前識者	名词
4	2	，	标点（符号）
4	3	道	名词
4	4	之華	名词
4	5	也	语气词
4	6	，	标点（符号）
4	7	而	动词
4	8	愚之首	名词
4	9	也	语气助词
4	10	。	标点（符号）
4	11	是	形容词
4	12	以	介词
4	13	大丈夫	名词
4	14	居其厚	名词
4	15	而	连词
4	16	不居	名词
4	17	其薄	名词
4	18	，	标点（符号）
4	19	居其	名词
4	20	實不居	名词
4	21	其華	名词
4	22	。	标点（符号）
5	1	故去	动词
5	2	彼取	名词
5	3	此	代词
5	4	。	标点（符号）
5	5	昔之得	名词
5	6	一者	连词
5	7	，	标点（符号）
5	8	天得	名词
5	9	一以	名词
5	10	清	形容词
5	11	，	标点（符号）
5	12	地得	名词
5	13	一以寧	名词
5	14	，	标点（符号）
5	15	神得	名词
5	16	一以靈	名词
5	17	，	标点（符号）
5	18	谷得	名词
5	19	一以盈	名词
5	20	，	标点（符号）
5	21	侯王	名词
5	22	得	副词
5	23	一而以	名词
5	24	爲	动词
6	1	正	副词
6	2	。	标点（符号）
6	3	其致	名词
6	4	之	代词
6	5	也	语气助词
6	6	，	标点（符号）
6	7	謂	动词
6	8	天無已	名词
6	9	清將	名词
6	10	恐裂	名词
6	11	，	标点（符号）
6	12	謂	动词
6	13	地	名词
6	14	無	副词
6	15	已寧將	名词
6	16	恐發	名词
6	17	，	标点（符号）
6	18	謂	动词
6	19	神	形容词
6	20	無	动词
6	21	已	副词
6	22	靈將	名词
6	23	恐歇	名词
6	24	，	标点（符号）
6	25	謂	动词
6	26	谷	名词
6	27	無	动词
6	28	已盈	名词
7	1	將	动词
7	2	{	标点（符号）
7	3	將	连词
7	4	}	标点（符号）
7	5	恐竭	名词
7	6	，	标点（符号）
7	7	謂	动词
7	8	侯王	名词
7	9	無	副词
7	10	已	动词
7	11	貴以	名词
7	12	高將	名词
7	13	恐	动词
7	14	蹶	动词
7	15	。	标点（符号）
7	16	故必貴	名词
7	17	而	连词
7	18	以	介词
7	19	賤	名词
7	20	爲	动词
7	21	本	副词
7	22	，	标点（符号）
7	23	必高	名词
