ID	词号	词	词性
1	1	"	标点（符号）
1	2	收責報	名词
1	3	，	标点（符号）
1	4	會	动词
1	5	，	标点（符号）
1	6	月	名词
1	7	十日	时间词
1	8	。	标点（符号）
1	9	謹以府	名词
1	10	書驗問	名词
1	11	，	标点（符号）
1	12	子	名词
1	13	都	名词
1	14	名親	名词
1	15	，	标点（符号）
1	16		名词
1	17	故居	名词
1	18	延令史	名词
1	19	喬子功	名词
1	20	"	标点（符号）
2	1	"	标点（符号）
2	2	□	标点（符号）
2	3	敢	形容词
2	4	□	标点（符号）
2	5	□	标点（符号）
2	6	己	名词
2	7	□	标点（符号）
2	8	□	标点（符号）
2	9	麥	名词
2	10	□	标点（符号）
2	11	謹	形容词
2	12	□	标点（符号）
2	13	□	标点（符号）
2	14	"	标点（符号）
3	1	"	标点（符号）
3	2	上	名词
3	3	今	名词
3	4	"	标点（符号）
4	1	"	标点（符号）
4	2	三	数词
4	3		名词
4	4		名词
4	5	長	形容词
4	6	徐宗	名词
4	7	自言	名词
4	8	故霸	名词
4	9	胡亭長	名词
4	10	寧就舍	名词
4	11	錢	量词
4	12	二千	数词
4	13	三百	数词
4	14	卅	数词
4	15	，	标点（符号）
4	16	數責	名词
4	17	不可	动词
4	18	得	动词
4	19	。	标点（符号）
4	20	"	标点（符号）
5	1	"	标点（符号）
5	2	出錢	动词
5	3	買	动词
5	4	"	标点（符号）
6	1	"	标点（符号）
6	2	隧長	职官
6	3	徐宗	名词
6	4	自言責	名词
6	5	故	副词
6	6	三泉	nz
6	7	亭長	职官
6	8	石延壽	名词
6	9	茭錢少	名词
6	10	二百八十	数词
6	11	，	标点（符号）
6	12	數責	名词
6	13	不可	动词
6	14	得	动词
6	15	。	标点（符号）
6	16	"	标点（符号）
7	1	"	标点（符号）
7	2	第十六	数词
7	3		名词
7	4	長	动词
7	5	□	标点（符号）
7	6	宣	动词
7	7	鐵鎧二	名词
7	8	□	标点（符号）
7	9	□	标点（符号）
7	10	□	标点（符号）
7	11	□	标点（符号）
7	12	□	标点（符号）
7	13	鐵	名词
7	14	□	标点（符号）
7	15	□	标点（符号）
7	16	鞮	名词
7	17	瞀	形容词
7	18	□	标点（符号）
7	19	□	标点（符号）
7	20	□	标点（符号）
7	21	□	标点（符号）
7	22	□	标点（符号）
7	23	□	标点（符号）
7	24	□	标点（符号）
7	25	□	标点（符号）
7	26	一	动词
7	27	□	标点（符号）
7	28	三	数词
7	29	□	标点（符号）
7	30	□	标点（符号）
7	31	□	标点（符号）
7	32	□	标点（符号）
7	33	石弩	名词
7	34	□	标点（符号）
7	35	半寸	数词
7	36	，	标点（符号）
7	37	已亭	名词
7	38		名词
7	39	矢	名词
7	40	九十	数词
7	41		名词
7	42	呼	动词
7	43	，	标点（符号）
7	44	未能	动词
7	45	會會	名词
7	46	日	名词
7	47		名词
7	48	矢	名词
7	49	十二	数词
7	50	□	标点（符号）
7	51	，	标点（符号）
7	52	未能	动词
7	53	會日	名词
7	54	□	标点（符号）
7	55	□	标点（符号）
7	56	□	标点（符号）
7	57	□	标点（符号）
7	58	□	标点（符号）
7	59	干	名词
7	60		名词
7	61	呼	动词
7	62	，	标点（符号）
7	63	未能	动词
7	64	會日	名词
7	65	□	标点（符号）
7	66	□	标点（符号）
7	67	□	标点（符号）
7	68	□	标点（符号）
7	69	沿治未繕	名词
7	70	治	动词
7	71	"	标点（符号）
8	1	"	标点（符号）
8	2		名词
8	3	：	标点（符号）
8	4	故卅井候	名词
8	5	官令史	名词
8	6	，	标点（符号）
8	7	迺	代词
8	8	五鳳	年号
8	9	三年	数词
8	10	中為	名词
8	11	候官	名词
8	12	□	标点（符号）
8	13	□	标点（符号）
8	14	□	标点（符号）
8	15	故甲	名词
8	16	渠候	名词
8	17	杜君	名词
8	18	掾	名词
8	19	廿	名词
8	20	□	标点（符号）
8	21	"	标点（符号）
9	1	"	标点（符号）
9	2	甲渠官	名词
9	3	高弘	名词
9	4	十月	时间词
9	5	庚辰	nz
9	6	門卒	名词
9	7	輔以	动词
9	8	來	动词
9	9	"	标点（符号）
10	1	元延	年号
10	2	三年	数词
10	3	九月	时间词
10	4	己未	数词
10	5	尉史	职官
10	6	□	标点（符号）
10	7	□	标点（符号）
11	1	□	标点（符号）
11	2	甲渠候	名词
11	3	漢	名词
11	4	彊	名词
11	5	敢言	名词
11	6	之	代词
11	7	。	标点（符号）
11	8	府	名词
11	9	移書	名词
11	10	曰	动词
11	11	：	标点（符号）
11	12	戍卒	名词
12	1	"	标点（符号）
12	2	令史慶	名词
12	3	"	标点（符号）
13	1	"	标点（符号）
13	2	亡	动词
13	3		名词
13	4	子	名词
13	5	"	标点（符号）
14	1	"	标点（符号）
14	2	□	标点（符号）
14	3	午朔	名词
14	4	辛酉	人名
14	5	，	标点（符号）
14	6	渠井	名词
14	7		名词
14	8	長	形容词
14	9	成	动词
14	10	敢言	名词
14	11	之	动词
14	12	。	标点（符号）
14	13	迺	代词
14	14	五鳳	年号
14	15	四年	数词
14	16	五月	时间词
14	17	中除	名词
14	18	為殄北	名词
14	19	□	标点（符号）
14	20	塞	动词
14	21	五年	时间词
14	22	正月	时间词
14	23	中授	名词
14	24	為	动词
14	25	甲	名词
14	26	渠誠北	名词
14	27		名词
14	28	長	名词
14	29	，	标点（符号）
14	30	至	介词
14	31	甘露	年号
14	32	元年	时间词
14	33	六月	时间词
14	34	中授	名词
14	35	為殄北	名词
14	36	塞外	s
14	37	渠井	名词
14	38		名词
14	39	長	形容词
14	40	。	标点（符号）
14	41	成	动词
14	42	去甲	名词
14	43	渠	形容词
14	44	"	标点（符号）
15	1	"	标点（符号）
15	2	今餘	名词
15	3	茭	名词
15	4	五千	数词
15	5	六百五十	名词
15	6	束	量词
15	7	"	标点（符号）
17	1	□	标点（符号）
17	2	□	标点（符号）
17	3	□	标点（符号）
17	4	嗇	名词
17	5	夫	名词
17	6	王光	人名
17	7	十一月	数词
17	8	奉錢	名词
17	9	七百	数词
17	10	廿	名词
17	11	十二月	数词
17	12	辛酉	人名
17	13	自取	动词
17	14	□	标点（符号）
18	1	居延擊	名词
18	2	胡	形容词
18	3		名词
18	4	長	名词
18	5	孤山	人名
18	6	里	量词
18	7	公乘樂熹	名词
