ID	词号	词	词性
1	1	令史	职官
1	2	…	标点（符号）
1	3	…	标点（符号）
1	4	令史	职官
1	5	三人	名词
1	6	、	标点（符号）
1	7	尉史	职官
1	8	四人名	名词
1	9	如牒	名词
1	10	。	标点（符号）
1	11	請	动词
1	12	所用	b
1	13	代	动词
1	14	钅	zg
1	15	主官	名词
2	1	絝	名词
2	2	一	数词
2	3	兩	数量词
3	1	良	形容词
3	2	敢言	名词
4	1	"	标点（符号）
4	2	循到	名词
4	3	官	名词
4	4	，	标点（符号）
4	5	馮今	名词
4	6	月	名词
4	7	三日	时间词
4	8	到	动词
4	9	官	名词
4	10	。	标点（符号）
4	11	問循	名词
4	12	到	动词
4	13	未	名词
4	14	，	标点（符号）
4	15	張	名词
4	16	掾	名词
4	17	言	名词
4	18	，	标点（符号）
4	19	钆	g
4	20	長	名词
4	21	董	动词
4	22	放言	动词
4	23	循在	名词
4	24	＝	标点（符号）
4	25	部	名词
4	26	。	标点（符号）
4	27	記召循	名词
4	28	<	标点（符号）
4	29	侯長	职官
4	30	政	名词
4	31	。	标点（符号）
4	32	言循	名词
4	33	"	标点（符号）
5	1	□	标点（符号）
5	2	以	动词
5	3	便宜	形容词
5	4	□	标点（符号）
5	5	□	标点（符号）
5	6	□	标点（符号）
5	7	…	标点（符号）
5	8	…	标点（符号）
6	1	亖	zg
6	2	月	名词
6	3	十五日	数词
6	4	治罷	名词
6	5	卒	名词
6	6	簿	ng
6	7	府	名词
6	8	，	标点（符号）
6	9	亖	zg
6	10	月	名词
6	11	十五日	数词
6	12	罷	名词
6	13	。	标点（符号）
7	1	新	形容词
7	2	始建	动词
7	3	國天鳳	名词
7	4	上	形容词
7	5	戊	名词
7	6	六年	数词
7	7	五月	时间词
7	8	癸酉	数词
7	9	朔	名词
7	10	丁酉	人名
7	11	，	标点（符号）
7	12	甲溝	名词
7	13	鄣	g
7	14	守	动词
8	1	叩頭	动词
8	2	再拜	动词
8	3	，	标点（符号）
8	4	白	名词
8	5	薛卿	名词
8	6	坐前	名词
8	7	，	标点（符号）
8	8	善	形容词
8	9	毋恙	名词
8	10	，	标点（符号）
8	11	頃得	名词
8	12	相見	动词
8	13	，	标点（符号）
9	1	為	动词
9	2	岑多問	名词
9	3	李騎吏	名词
9	4	，	标点（符号）
9	5	周騎吏	名词
9	6	、	标点（符号）
9	7	李小使	名词
9	8	、	标点（符号）
9	9	郭小使	名词
9	10	，	标点（符号）
9	11	言	名词
10	1	"	标点（符号）
10	2	馬	名词
10	3	建	动词
10	4	叩頭言	名词
10	5	：	标点（符号）
10	6	·	标点（符号）
10	7	使	动词
10	8	=	标点（符号）
10	9	再拜	动词
10	10	白	名词
10	11	，	标点（符号）
10	12	頃有	名词
10	13	善	形容词
10	14	鹽	名词
10	15	五升	名词
10	16	可食	名词
10	17	張	动词
10	18	掾	名词
10	19	執事	动词
10	20	毋恙	名词
10	21	，	标点（符号）
10	22	昨莫還	名词
10	23	白園	名词
10	24	事	动词
10	25	，	标点（符号）
10	26	云何充	名词
10	27	可不	连词
10	28	頃賜	名词
10	29	□	标点（符号）
10	30	·	标点（符号）
10	31	掾	名词
10	32	昨日	时间词
10	33	幸許	副词
10	34	"	标点（符号）
11	1	"	标点（符号）
11	2	葵子	名词
11	3	一升	名词
11	4	。	标点（符号）
11	5	昨	名词
11	6	遣使	动词
11	7	持門菁子	名词
11	8	一升詣	名词
11	9	門下	s
11	10	受教	动词
11	11	，	标点（符号）
11	12	願	名词
11	13	□	标点（符号）
11	14	逆使	名词
11	15	，	标点（符号）
11	16	昨莫取	名词
11	17	。	标点（符号）
11	18	白欲歸事	名词
11	19	，	标点（符号）
11	20	豈肯	动词
11	21	白之乎	名词
11	22	？	标点（符号）
11	23	為	动词
11	24	見	动词
11	25	不	助词
11	26	一	数词
11	27	<	标点（符号）
11	28	二	数词
11	29	，	标点（符号）
11	30	"	标点（符号）
