ID	词号	词	词性
1	1	四月	数词
1	2	辛卯	数词
1	3	，	标点（符号）
1	4	五月	时间词
1	5	辛酉	人名
1	6	，	标点（符号）
1	7	六月	时间词
1	8	庚寅	数词
1	9	，	标点（符号）
1	10	七月	时间词
1	11	庚申	数词
1	12	，	标点（符号）
1	13	八月	时间词
1	14	己丑	名词
1	15	，	标点（符号）
1	16	九月	时间词
1	17	己未	数词
1	18	，	标点（符号）
1	19	後	副词
1	20	九月	时间词
1	21	。	标点（符号）
2	1	新降	名词
2	2	為漢	名词
2	3	。	标点（符号）
2	4	九月	时间词
2	5	。	标点（符号）
3	1	六年	数词
3	2	：	标点（符号）
3	3	十月	时间词
3	4	戊午	时间词
3	5	，	标点（符号）
3	6	十一月	数词
3	7	丁亥	数词
3	8	，	标点（符号）
3	9	十二月	数词
3	10	丁巳	人名
3	11	，	标点（符号）
3	12	正月	时间词
3	13	丙戌	数词
3	14	，	标点（符号）
3	15	二月	数词
3	16	丙辰	名词
3	17	，	标点（符号）
3	18	三月	数词
3	19	丙戌	数词
3	20	，	标点（符号）
3	21	四月	数词
3	22	乙卯	名词
3	23	，	标点（符号）
3	24	五月	时间词
3	25	乙酉	数词
3	26	，	标点（符号）
3	27	六月	时间词
3	28	甲寅	数词
3	29	，	标点（符号）
3	30	七月	时间词
3	31	甲申	nz
3	32	，	标点（符号）
3	33	八月	时间词
3	34	癸丑	数词
3	35	，	标点（符号）
3	36	九月	时间词
3	37	癸未	数词
3	38	小	动词
3	39	。	标点（符号）
4	1	七年	数词
4	2	：	标点（符号）
4	3	十月	时间词
4	4	壬子	数词
4	5	，	标点（符号）
4	6	十一月	数词
4	7	壬午	数词
4	8	，	标点（符号）
4	9	十二月	数词
4	10	辛亥	数词
4	11	，	标点（符号）
4	12	正月	时间词
4	13	□	标点（符号）
4	14	□	标点（符号）
4	15	□	标点（符号）
4	16	□	标点（符号）
4	17	□	标点（符号）
4	18	□	标点（符号）
4	19	□	标点（符号）
4	20	□	标点（符号）
4	21	□	标点（符号）
4	22	□	标点（符号）
4	23	□	标点（符号）
4	24	□	标点（符号）
4	25	□	标点（符号）
4	26	□	标点（符号）
4	27	□	标点（符号）
4	28	□	标点（符号）
4	29	□	标点（符号）
4	30	□	标点（符号）
4	31	□	标点（符号）
4	32	□	标点（符号）
4	33	□	标点（符号）
4	34	□	标点（符号）
4	35	□	标点（符号）
4	36	□	标点（符号）
4	37	□	标点（符号）
4	38	□	标点（符号）
4	39	□	标点（符号）
4	40	□	标点（符号）
4	41	□	标点（符号）
4	42	□	标点（符号）
4	43	□	标点（符号）
4	44	□	标点（符号）
4	45	□	标点（符号）
4	46	□	标点（符号）
4	47	大	副词
4	48	。	标点（符号）
5	1	·	标点（符号）
5	2	八年	时间词
5	3	：	标点（符号）
5	4	十月	时间词
5	5	丁未	人名
5	6	，	标点（符号）
5	7	十一月	数词
5	8	丙子	名词
5	9	，	标点（符号）
5	10	十二月	数词
5	11	丙午	数词
5	12	，	标点（符号）
5	13	正月	时间词
5	14	乙亥	数词
5	15	，	标点（符号）
5	16	二月	数词
5	17	乙巳	数词
5	18	，	标点（符号）
5	19	三月	数词
5	20	甲戌	数词
5	21	，	标点（符号）
5	22	四月	数词
5	23	甲辰	名词
5	24	，	标点（符号）
5	25	五月	时间词
5	26	癸酉	数词
5	27	，	标点（符号）
5	28	六月	时间词
5	29	癸卯	数词
5	30	，	标点（符号）
5	31	七月	时间词
5	32	壬申	数词
5	33	，	标点（符号）
5	34	八月	时间词
5	35	壬寅	数词
5	36	，	标点（符号）
5	37	九月	时间词
5	38	辛未	人名
5	39	，	标点（符号）
5	40	後	副词
5	41	九月	时间词
5	42	辛丑	人名
5	43	大	副词
5	44	。	标点（符号）
6	1	·	标点（符号）
6	2	九年	时间词
6	3	：	标点（符号）
6	4	十月	时间词
6	5	辛未	人名
6	6	，	标点（符号）
6	7	十一月	数词
6	8	庚子	nz
6	9	，	标点（符号）
6	10	十二月	数词
6	11	庚午	数词
6	12	，	标点（符号）
6	13	正月	时间词
6	14	己亥	数词
6	15	，	标点（符号）
6	16	二月	数词
6	17	己巳	数词
6	18	，	标点（符号）
6	19	三月	数词
6	20	戊戌	数词
6	21	，	标点（符号）
6	22	四月	数词
6	23	戊辰	nz
6	24	，	标点（符号）
6	25	五月	时间词
6	26	丁酉	人名
6	27	，	标点（符号）
6	28	六月	时间词
6	29	丁卯	数词
6	30	，	标点（符号）
6	31	七月	时间词
6	32	丁酉	人名
6	33	，	标点（符号）
6	34	八月	时间词
6	35	丙寅	数词
6	36	，	标点（符号）
6	37	九月	时间词
6	38	乙未	nz
6	39	大	形容词
6	40	。	标点（符号）
7	1	·	标点（符号）
7	2	十年	数词
7	3	：	标点（符号）
7	4	十月	时间词
7	5	乙丑	名词
7	6	，	标点（符号）
7	7	十一月	数词
7	8	甲午	时间词
7	9	，	标点（符号）
7	10	十二月	数词
7	11	甲子	名词
7	12	，	标点（符号）
7	13	正月	时间词
7	14	甲午	时间词
7	15	，	标点（符号）
7	16	二月	数词
7	17	癸亥	数词
7	18	，	标点（符号）
7	19	三月	数词
7	20	癸巳	数词
7	21	，	标点（符号）
