ID	词号	词	词性
2	1	虜	名词
2	2	柅	名词
2	3	櫝	动词
2	4	五十	数词
2	5	，	标点（符号）
2	6	繩	名词
2	7	十丈	数词
2	8	，	标点（符号）
2	9	癸未	数词
2	10	行	名词
2	11	。	标点（符号）
3	1	"	标点（符号）
3	2	第八	数词
3	3	"	标点（符号）
4	1	"	标点（符号）
4	2	一牒	名词
4	3	。	标点（符号）
4	4	十二月	数词
4	5	庚子	nz
4	6	朔	名词
4	7	丙寅	数词
4	8	，	标点（符号）
4	9	偏將	副词
4	10	軍	名词
4	11	"	标点（符号）
7	1	今見泉	名词
7	2	千八百	数词
7	3	卅	数词
7	4	五	数词
7	5	。	标点（符号）
8	1	歲	量词
8	2	，	标点（符号）
8	3	長	名词
8	4	桼	名词
8	5	尺	名词
8	6	五寸	数词
8	7	，	标点（符号）
8	8	练令	名词
8	9	。	标点（符号）
8	10	敦德亭間	名词
8	11	田	名词
8	12	平定	形容词
8	13	里	名词
8	14	，	标点（符号）
8	15	去	动词
8	16	官	名词
8	17	二百二十五	名词
8	18	里	名词
8	19	。	标点（符号）
8	20	●	标点（符号）
8	21	屬敦德	名词
8	22	郡	名词
8	23	。	标点（符号）
10	1	狀	名词
10	2	何如	连词
10	3	，	标点（符号）
10	4	此	名词
10	5	皆	副词
10	6	不	副词
10	7	以	介词
10	8	為	动词
10	9	意	动词
10	10	，	标点（符号）
10	11	欲	动词
10	12	與	介词
10	13	候長	职官
10	14	相委	名词
10	15	也	语气词
10	16	。	标点（符号）
10	17	為	动词
10	18	人	名词
10	19	下常持	名词
11	1	隊長	职官
11	2	㒼	名词
11	3	已	动词
11	4	到	动词
11	5	晆	名词
11	6	，	标点（符号）
11	7	審如記	名词
11	8	，	标点（符号）
11	9	候長	职官
11	10	當迎	名词
11	11	欽	副词
11	12	。	标点（符号）
11	13	閒者	名词
11	14	，	标点（符号）
11	15	諸吏	名词
11	16	不思	名词
12	1	"	标点（符号）
12	2	候普白	名词
12	3	：	标点（符号）
12	4	具記	名词
12	5	之	助词
12	6	，	标点（符号）
12	7	它	代词
12	8	所欲	名词
12	9	，	标点（符号）
12	10	力所任	名词
12	11	，	标点（符号）
12	12	願聞	名词
12	13	之	代词
12	14	。	标点（符号）
12	15	迫	形容词
12	16	不及	连词
12	17	一二	数词
12	18	一二	数词
12	19	，	标点（符号）
12	20	致自	名词
12	21	恧	形容词
12	22	自	介词
12	23	恧	形容词
12	24	。	标点（符号）
12	25	左子淵	名词
12	26	，	标点（符号）
12	27	頃	量词
12	28	起居	动词
12	29	得	动词
12	30	毋	副词
12	31	有	形容词
12	32	它	形容词
12	33	？	标点（符号）
12	34	子淵舍	名词
12	35	中	名词
12	36	，	标点（符号）
12	37	皆	副词
12	38	毋	副词
12	39	它	代词
12	40	急	形容词
12	41	。	标点（符号）
12	42	普屬	名词
12	43	從	名词
12	44	酒泉	地名
12	45	來	动词
12	46	，	标点（符号）
12	47	到	动词
12	48	會	动词
12	49	左曼卿	名词
12	50	，	标点（符号）
12	51	當	动词
12	52	西候	名词
12	53	。	标点（符号）
12	54	倉卒	名词
12	55	為記	名词
12	56	，	标点（符号）
12	57	不及	连词
12	58	一二	数词
12	59	一二	数词
12	60	。	标点（符号）
12	61	前普所	名词
12	62	寄	动词
12	63	弓	名词
12	64	及	连词
12	65	鞌	名词
12	66	，	标点（符号）
12	67	幸為付	名词
12	68	左曼卿	名词
12	69	。	标点（符号）
12	70	來	动词
12	71	弓	名词
12	72	鞌	名词
12	73	皆	副词
12	74	"	标点（符号）
15	1	干	动词
15	2	。	标点（符号）
