ID	词号	词	词性
1	1	制詔	名词
1	2	御史	名词
1	3	：	标点（符号）
1	4	奏年	名词
1	5	七十	数词
1	6	以上	方位词
1	7	，	标点（符号）
1	8	比吏	名词
1	9	六百	数词
1	10	石	名词
1	11	，	标点（符号）
1	12	出入	动词
1	13	官府	名词
1	14	不趨	名词
1	15	，	标点（符号）
1	16	毋	动词
1	17	二尺	数词
1	18	告劾	名词
1	19	，	标点（符号）
1	20	吏	名词
1	21	擅	动词
1	22	徵召	动词
1	23	◇	标点（符号）
3	1	變事吏	名词
3	2	上	动词
3	3	，	标点（符号）
3	4	毆擊	动词
3	5	之	代词
3	6	。	标点（符号）
3	7	召	动词
3	8	，	标点（符号）
3	9	爰	名词
3	10	書	名词
3	11	。	标点（符号）
3	12	變事痛	名词
3	13	所	数词
3	14	毆	动词
3	15	以	动词
3	16	不能	动词
3	17	言	动词
3	18	變事	名词
3	19	，	标点（符号）
3	20	皆	副词
3	21	大逆不道	i
3	22	□	标点（符号）
3	23	□	标点（符号）
3	24	◇	标点（符号）
4	1	民無爵	名词
4	2	裏	名词
4	3	名姓	名词
4	4	，	标点（符号）
4	5	吏	名词
4	6	擅事	名词
4	7	使	动词
4	8	，	标点（符号）
4	9	有	动词
4	10	行事	名词
4	11	穎川東	名词
4	12	鄉佐	名词
4	13	坐論	名词
4	14	◇	标点（符号）
5	1	諸自非	名词
5	2	九月	时间词
5	3	，	标点（符号）
5	4	吏	名词
5	5	不得	动词
5	6	發民車	名词
5	7	馬	名词
5	8	牛給	名词
5	9	縣	名词
5	10	官事	名词
5	11	。	标点（符号）
5	12	非	助词
5	13	九月	时间词
5	14	時	名词
5	15	，	标点（符号）
5	16	吏	名词
5	17	擅	动词
5	18	發民車	名词
5	19	□	标点（符号）
5	20	◇	标点（符号）
6	1	民占數	名词
6	2	以	助词
6	3	男為	名词
6	4	女	名词
6	5	，	标点（符号）
6	6	避	名词
6	7	更	副词
6	8	徭	名词
6	9	，	标点（符号）
6	10	論為	名词
6	11	司寇	名词
7	1	吏金二	名词
7	2	兩	量词
7	3	，	标点（符号）
7	4	在	动词
7	5	田律	名词
7	6	。	标点（符号）
7	7	民作	名词
7	8	原蠶	名词
7	9	，	标点（符号）
7	10	罰金二	名词
7	11	兩	量词
7	12	，	标点（符号）
7	13	令	形容词
7	14	在	动词
7	15	乙	名词
7	16	第	名词
7	17	廿三	数词
7	18	◇	标点（符号）
8	1	坐贓	动词
8	2	為	动词
8	3	盜	名词
8	4	，	标点（符号）
8	5	在	介词
8	6	公令	名词
8	7	第十九	数词
8	8	丞相	职官
8	9	常用	b
8	10	第三	数词
8	11	◇	标点（符号）
9	1	不道	名词
9	2	，	标点（符号）
9	3	在	介词
9	4	御史	名词
9	5	挈	动词
9	6	令	动词
9	7	第	名词
9	8	廿三	数词
9	9	◇	标点（符号）
10	1	赦	动词
10	2	，	标点（符号）
10	3	不得	动词
10	4	下蠶室	名词
10	5	，	标点（符号）
10	6	在蘭	名词
10	7	台挈令	名词
10	8	第	名词
10	9	□	标点（符号）
10	10	◇	标点（符号）
11	1	◇	标点（符号）
11	2	□	标点（符号）
11	3	法	名词
11	4	，	标点（符号）
11	5	在	介词
11	6	衛尉挈令	名词
11	7	◇	标点（符号）
12	1	代戶	名词
12	2	父不當	名词
12	3	為	动词
12	4	正	副词
12	5	，	标点（符号）
12	6	奪戶	名词
12	7	，	标点（符号）
12	8	在	介词
12	9	尉令	名词
12	10	第五十五	名词
12	11	。	标点（符号）
12	12	行事	名词
12	13	大原	地名
12	14	武鄉	地名
12	15	嗇	名词
12	16	夫	名词
12	17	□	标点（符号）
