ID	词号	词	词性
804	1	•	标点（符号）
804	2	令乙第	名词
805	1	給候	名词
805	2	長	形容词
806	1	三月	数词
806	2	丙子	名词
807	1	肩水金關	名词
807	2	金關	名词
807	3	今	连词
808	1	皮氏	名词
808	2	【	标点（符号）
808	3	j	标点（符号）
808	4	左	名词
808	5	“	标点（符号）
808	6	镸	名词
808	7	”	标点（符号）
808	8	右	名词
808	9	“	标点（符号）
808	10	桼	名词
808	11	”	标点（符号）
808	12	】	标点（符号）
808	13	里	名词
808	14	王雷年	名词
808	15	卌	zg
808	16	八	数词
809	1	"	标点（符号）
809	2	橐	动词
809	3	他	代词
809	4	通望	名词
809	5	隧長	职官
809	6	成	动词
809	7	襃	名词
809	8	建平	地名
809	9	三年	数词
809	10	五月	时间词
809	11	家屬	名词
809	12	符	名词
809	13	妻大	名词
809	14	女	名词
809	15	觻	名词
809	16	得	形容词
809	17	當	动词
809	18	富	形容词
809	19	里	量词
809	20	成	动词
809	21	虞	动词
809	22	年	名词
809	23	廿六	数词
809	24	子	名词
809	25	小女	名词
809	26	侯年	名词
809	27	一歲	数词
809	28	，	标点（符号）
809	29	車二兩	名词
809	30	弟婦	名词
809	31	孟君	名词
809	32	年	名词
809	33	十五	数词
809	34	，	标点（符号）
809	35	用	动词
809	36	牛二頭	名词
809	37	弟婦	名词
809	38	君始	名词
809	39	年	名词
809	40	廿四	数词
809	41	，	标点（符号）
809	42	馬	名词
809	43	一匹	数词
809	44	小女	名词
809	45	護惲	名词
809	46	年	名词
809	47	二歲	数词
809	48	弟婦	名词
809	49	君給	名词
809	50	年	名词
809	51	廿五	数词
809	52	"	标点（符号）
810	1	本始	年号
810	2	四年	数词
810	3	月	名词
810	4	申	名词
811	1	朱督亭	名词
811	2	罷卒	名词
811	3	簿詣	名词
811	4	丞相	职官
811	5	史狄卿	名词
811	6	在	介词
811	7	所	数词
811	8	當舍	名词
811	9	傳舍	名词
811	10	從者	名词
811	11	如律令	人名
812	1	積	名词
812	2	六十日	数词
812	3	到	动词
812	4	官除	名词
812	5	行道	名词
812	6	十日	时间词
812	7	不	副词
813	1	■	标点（符号）
813	2	右	名词
813	3	第	副词
813	4	廿六	数词
813	5	車九人	名词
