ID	词号	词	词性
1	1	"	标点（符号）
1	2	妻大	名词
1	3	女昭年	名词
1	4	□	标点（符号）
1	5	弟齊	名词
1	6	年	名词
1	7	廿	数词
1	8	"	标点（符号）
2	1	□	标点（符号）
2	2	二月	数词
2	3	辛丑	人名
2	4	盡庚	名词
3	1	居延	地名
3	2	都尉	职官
3	3	從史	名词
3	4	□	标点（符号）
4	1	□	标点（符号）
4	2	□	标点（符号）
4	3	四月	数词
4	4	□	标点（符号）
4	5	□	标点（符号）
4	6	行	名词
5	1	肩水金關	名词
6	1	□	标点（符号）
6	2	元始	年号
6	3	元年	时间词
6	4	三月	数词
7	1	布帛	人名
7	2	錢子	名词
7	3	孫咸	名词
8	1	記巾	名词
9	1	"	标点（符号）
9	2	辛卯	数词
9	3	丁酉	人名
9	4	甲辰	名词
9	5	庚	名词
9	6	壬辰	数词
9	7	戊戌	数词
9	8	乙巳	数词
9	9	辛亥	数词
9	10	□	标点（符号）
9	11	巳	名词
9	12	己亥	数词
9	13	丙午	数词
9	14	壬子	数词
9	15	庚子	nz
9	16	丁未	人名
9	17	建	名词
9	18	癸	名词
9	19	"	标点（符号）
10	1	"	标点（符号）
10	2	□	标点（符号）
10	3	□	标点（符号）
10	4	□	标点（符号）
10	5	□	标点（符号）
10	6	庚子	nz
10	7	丙午	数词
10	8	建	名词
10	9	辛丑	人名
10	10	壬寅	数词
10	11	"	标点（符号）
11	1	家中	s
11	2	起居	动词
11	3	具	名词
12	1	"	标点（符号）
12	2	□	标点（符号）
12	3	□	标点（符号）
12	4	□	标点（符号）
12	5	毋	副词
12	6	付君	名词
12	7	都	名词
12	8	"	标点（符号）
13	1	肩	名词
13	2	水城	名词
13	3	倉出	名词
14	1	候官	名词
15	1	再拜	动词
15	2	請	动词
16	1	張威卿	名词
16	2	幸得	副词
16	3	□	标点（符号）
17	1	"	标点（符号）
17	2	□	标点（符号）
17	3	君公	名词
17	4	叩	动词
17	5	□	标点（符号）
17	6	上	动词
17	7	□	标点（符号）
17	8	□	标点（符号）
17	9	"	标点（符号）
18	1	"	标点（符号）
18	2	□	标点（符号）
18	3	厚恩	名词
18	4	叩	动词
18	5	□	标点（符号）
18	6	賜記	名词
18	7	□	标点（符号）
18	8	"	标点（符号）
19	1	月	名词
19	2	己丑	名词
19	3	朔	名词
19	4	庚寅	数词
19	5	肩水倉	名词
20	1	觻	名词
20	2	得	助词
20	3	富安	nz
20	4	里	名词
20	5	公乘	名词
20	6	召忠年	名词
20	7	五十八	数词
20	8	長	名词
20	9	七尺	数词
21	1	□	标点（符号）
21	2	壬午	数词
21	3	廣地	名词
21	4	守尉	名词
21	5	□	标点（符号）
21	6	順移	名词
21	7	肩水金	名词
21	8	關名	动词
22	1	□	标点（符号）
22	2	言	名词
23	1	亡命	动词
23	2	□	标点（符号）
23	3	□	标点（符号）
23	4	就	名词
23	5	遝	动词
23	6	□	标点（符号）
23	7	□	标点（符号）
23	8	獄遣	名词
23	9	守尉	名词
23	10	萬年	地名
24	1	□	标点（符号）
24	2	□	标点（符号）
24	3	□	标点（符号）
24	4	□	标点（符号）
25	1	出錢	动词
25	2	千	数词
25	3	二百	数词
25	4	□	标点（符号）
25	5	□	标点（符号）
25	6	□	标点（符号）
25	7	□	标点（符号）
25	8	□	标点（符号）
26	1	□	标点（符号）
26	2	十一月	数词
26	3	即為	连词
26	4	南入	名词
27	1	乘田清東	名词
27	2	里程	名词
27	3	亘年	名词
27	4	廿六	数词
27	5	長	名词
27	6	七尺	数词
27	7	二寸	数词
28	1	章當	名词
28	2	欲	名词
28	3	裘	名词
28	4	徙	动词
28	5	恐吏	名词
28	6	簿	ng
28	7	聽	动词
28	8	辛丑	人名
28	9	去署	名词
28	10	亡	名词
28	11	褒	动词
28	12	□	标点（符号）
29	1	昭武萬	名词
29	2	□	标点（符号）
29	3	里	名词
29	4	張	名词
29	5	光年	名词
29	6	卅	数词
29	7	五	名词
30	1	水門	名词
30	2	隧長	职官
30	3	當乘	名词
30	4	始安邑	名词
30	5	夷	动词
30	6	胡	形容词
30	7	隧	名词
31	1	令史	职官
31	2	□	标点（符号）
31	3	□	标点（符号）
31	4	年卅五	名词
32	1	"	标点（符号）
32	2	吏所葆名	名词
32	3	縣爵	名词
32	4	里	名词
32	5	年	名词
32	6	姓	名词
32	7	如牒	名词
32	8	書到	名词
32	9	"	标点（符号）
33	1	子	名词
33	2	酉	名词
33	3	午	名词
33	4	卯	名词
33	5	子	名词
33	6	酉	名词
33	7	午	名词
33	8	卯	名词
