字头	释义
阿	词头，多用在亲属名称或人名的前面，盛行于魏晋以后。《孔雀东南飞》：“～母谓～女：‘适得府君书，明日来迎汝。’”《颜氏家训·风操》：“梁武小名～练，子孙呼练为绢。”
阿	1〈名〉山陵；大丘。王勃《滕王阁序》：“访风景于崇～。”2〈名〉山湾。屈原《山鬼》：“若有人兮山之～。”3〈名〉屋角翘起来檐。《古诗十九首·西北有高楼》：“～阁三重阶。”4〈动〉曲从；迎合。《韩非子·有度》：“法不～贵，绳不挠曲。”（贵，地位高的人。）5〈动〉偏私；袒护。屈原《离骚》：“皇天无～私兮。”〖引〗亲近。《后汉书·文苑传下》：“苟失其道，则兄弟不～。”6通“婀”。柔软而美丽的样子。《诗经·小雅·隰桑》：“隰桑有～，其叶有难。”（难，茂盛的样子。）
阿	通“呵”。斥责。《老子·二十章》：“唯之与～，相去几何。”
哀	1<形>悲痛；伤心。《荆轲刺秦王》：“伏尸而哭，极～。”《柳毅传》：“词毕，又～咤良久。”《阿房宫赋》：“秦人不暇自～，而后人～之。”〖又〗<形意动>以……为哀。《殽之战》：“秦不～吾丧而伐吾同姓。”2<动>怜悯；同情。《赵威后问齐使》：“是其为人，～鳏寡，恤孤独，振困穷，补不足。”《捕蛇者说》：“君将～而生之乎？”3〈名〉丧事。《史记·项羽本纪》：“汉王为发～，泣之而去。”
埃	1<名>尘土。《兵车行》“耶娘妻子走相送，尘～不见咸阳桥。”2<名>泥土。《劝学》“上食～土，下饮黄泉。”
挨	1<形>挨次；顺序次序。李斗《扬州画舫录·虹桥录下》“家人～排于船首，以多为胜。”2<动>靠近；紧挨着。《红楼梦》六十七回“宝玉忙走到床前，～着黛玉坐下。”〖又〗<动>依靠。佚名《争报恩》二折：“倚仗着你那有官有势，忒欺负我无靠无～。”3<动>蹭；摩擦。单宇《菊坡丛话》：“宋公见野牛就木～痒。”〖又〗<动>挤。《水浒传》第三回：“鲁达看见众人看榜，～满在十字路口。”
挨	1<动>忍受。《窦娥冤》：“这无情棍棒，教我～不的。”2<动>困难地渡过。文天祥《满天红·和王昭仪》：“燕子楼中，又～过几番秋色。”3<动>勉强支持。吴敬梓《儒林外史》：“一步一～，～到庵门口。”4<动>拖延。《朱子语类·论治道》：“～得过时且过。”
欸	<动>感叹。《涉江》：“～秋冬之绪风。”（绪风，余寒未尽的风。）
蔼	1<形>树木茂密的样子.裴铏《题文翁石室》：“古柏尚留今日翠,高眠犹～旧时青.”〖又〗盛多的样子杜甫《雨》：“行云递崇高,飞雨～而至.”2<形>和蔼;善美.韩愈《答李翊书》：“仁义之人,其言～如也.”3<动>笼罩;遮蔽.朱淑贞《弔林和靖》：“不识酌泉拈菊意,一庭寒翠～空祠.”4<名>通“霭”.云气.江淹《秋夕纳凉奉和刑狱舅》：“虚堂起青～,崦嵫生暮霞.”〖又〗<形>云集的样子.《管子·侈靡》：“～然若夏之静云.”
霭	云气：～～（云雾密集的样子）。云～。烟～。暮～。
艾	1<名>植物名，即艾蒿，叶可灸病。《孟子·离娄》：“今之欲王者，犹七年之病求三年之～也。”《诗经·采葛》：“彼采～兮。”2<名>绿色。范晔《董宣执法》：“赐～绶，葬以大夫礼。”〖又〗<名>灰白色。元稹《郡斋感怀见奇》：“～发衰容惜寸辉。”3<名>对老年人的敬称。《礼记·曲礼上》：“人生十年曰说幼，学。……五十曰～，服官政。”4<形>美好。《孟子·万章上》：“知好色则慕少～。”5<动>停止。《左传·哀公二年》：“虽克郑，犹有知在，忧未～也。”
艾	1<动>通“刈”，割。《汉书·贾谊传》：“其视杀人若草菅～草菅然。”2<动>铲除，杀害。《左传·哀公元年》：“亦不～杀其民。”3通“乂”，治理；安定。《史记·越世家》：“至于今诸夏～安。”
爱	1<动>喜爱.《师说》：“～其子,择师而教之。”2<形>亲爱的;心爱的.《柳毅传》：“见大王～其女牧羊于野。”3<动>爱护.《陈涉世家》：“吴广素～人,士卒多为用者。”4<动>怜惜;同情.《左传·僖公二十二年》：“若～重伤,则如勿伤。”5<动>爱惜.《指南录后序》：“国事至此,予不得～身。”6<动>吝啬.《齐桓晋文之事》：“吾何～一丰?。”7<动>爱好.《阿房宫赋》：“秦～纷奢,人亦念共家。”
隘	1<形>狭窄;也指人气量小.韩愈《后十九日复上宰相书》：“情～辞蹙,不知所裁.。”2<名>险要的地方.张衡《东京赋》：“不恃、～害。” 
隘	1<动>阻挡;阻止.《战国策》：“太子辞于齐王而归,齐王～之。”[又]阻塞;阻隔.《战国策》：“而寡人不与闻焉,是以～之。”2<形>穷困;窘迫.《新序·杂事》：“常思困～之时,必不骄矣。”3<形>疲弱;萎顿.《左传·襄公二十五年》：“～乃禽也。”(禽:“擒”)
碍	1<动>阻止；阻挡。《法言·问道》：“圣人这所以治天下，～诸礼乐也。”2<名>障碍。《与朱元思书》：“游鱼细石，直视无～。”3<动>妨碍；妨害。《林教头风雪山神庙》：“这人莫不与林教头身上有些干～？”
叆	1<形>浓云密布。欧阳修《和徐生假山》：“～若气融结，突如鬼镌镵。”【又】指云。王夫之《九昭·汩征》：“骇哀吟之宵鼯兮，郁薄霄乎夕～。”2<形>香烟缭绕。苏轼《满庭芳》：“香～雕盘寒生冰筯。”
暧	1<形>昏暗.谢瞻《王抚军庾西阳集别》：“颓阳照通津,夕阴～平陆。”2<形>隐蔽.陶渊明《时运》：“山涤绦霭,宇～微霄。”3<形>滋润;温和.唐太宗《元日》：“高轩～春己,邃阁媚朝光。”【暧暧】1.昏暗不明.潘岳《寡妇赋》：“时～而向昏兮,日杳杏而西匿。”2.隐隐约约.《归田园居》：“～远人村,依依墟里烟。”3.表茂密.陶渊明《归田园居》：“淙淙悬溜,～荒林。”
僾	1<形>草木茂盛。曹植《临观赋》：“丘陵崛兮松柏青，南国～兮果载荣。”2<动>隐蔽，遮掩。《晋书·乐志上》：“祗之出，～若有。”3<名>通“馤”。香气；香。江淹《萧道成诔》：“誉馥区中，道～岷外。”
