ID	人名
1	陳橫
2	王舒
3	王福
4	張札
5	覃嬴
6	王廣
7	定世
8	未央
9	王禹
10	嘉平
11	薛昌
12	宜王
13	安世
14	李廣
15	孫宗
16	安國
17	步遷
18	勝胡
19	李宗
20	楊充
21	嬰齊
22	毋憂
23	毋害
24	臧禹
25	張福
26	尹野
27	呂孺
28	許放
29	胡敝
30	曹式
31	勤光
32	王光
33	楊禹
34	段封
35	破胡
36	延壽
37	靳龜
38	臨平
39	武光
40	樂德
41	家橫
42	李生
43	張平
44	遂昌
45	長生
46	高建
47	奉光
48	信都
49	勝之
50	延年
51	李威
52	充國
53	謝橫
54	弘羊
55	充輸
56	子元
57	奉親
58	牛慶
59	張禹
60	藺禹
61	鄭吉
62	富邑
63	宣建
64	丙吉
65	魏相
66	始長
67	宋建
68	侯得
69	常有
70	孟幸
71	解清
72	戴通
73	馬丙
74	崔黃
75	史充
76	陳義
77	解事
78	崔利
79	吳道
80	安昌
81	忠臨
82	蘇誼
83	尹就
84	張德
85	池信
86	趙忠
87	暴便
88	張成
89	孟充
90	高明
91	解它
92	漢彊
93	王弘
94	孫成
95	寬主
96	榮福
97	臧強
98	常富
99	張偃
100	傅勝
101	賈通
102	詹奴
103	程宣
104	段賢
105	常樂
106	馮弘
107	李充
108	壽王
109	功孫
110	辟非
111	安主
112	李壽
113	赦之
114	段尊
115	孫勛
116	長秋
117	何望
118	杜旦
119	皇楚
120	郭當
121	郭充
122	馬定
123	弋南
124	徐充
125	王奴
126	王武
127	侯賢
128	陳光
129	董雲
130	宋宗
131	始昌
132	羊田
133	侯禹
134	楊霸
135	楊山
136	王彊
137	丁竟
138	昌
139	孫廣
140	孟儴
141	趙湯
142	孫地
143	儲壽
144	乙昌
145	左朔
146	張定
147	刑齊
148	王紋
149	李奉
150	張安
151	願之
152	楊壽
153	魯侯
154	外人
155	壽樂
156	石伕
157	朱明
158	梁充
159	郭常
160	汵臨
161	胡朝
162	石彊
163	任喜
164	周明
165	薛章
166	建國
167	張宣
