地名ID	地名	说明	隶属郡	地名类型	地名渊源	渊源类型	首现文献	设置时间	取消时间	辖县	隶属刺史
1	京兆尹		0	郡名							
2	右扶風		0	郡名							
3	左馮翊		0	郡名							
4	河南		0	郡名							
6	穎川		0	郡名							
7	汝南		0	郡名							
8	沛		0	郡名							
9	南陽		0	郡名							
10	琅琊		0	郡名							
11	東海		0	郡名							
12	會稽		0	郡名							
13	豫章		0	郡名							
14	南海		0	郡名							
15	交趾		0	郡名							
16	日南		0	郡名							
17	蜀		0	郡名							
18	益州		0	郡名							
19	武威		0	郡名							
20	張掖		0	郡名							
21	敦煌		0	郡名							
22	太原		0	郡名							
23	涿		0	郡名							
24	西域都護府		0	郡名							
25	渤海		0	郡名							
26	遼東		0	郡名							
27	樂浪		0	郡名							
28	潞		上党郡		故潞子国	以故国为名					
29	共		河内郡		故国	以故国为名					
30	溫		河内郡		故国，己姓	以故国为名					
31	密		河南郡		故国	以故国为名					
32	南燕		东郡		南燕国，姞姓，黄帝后	以故国为名					
33	許		颍川郡		故国，姜姓，四岳后	以故国为名					
34	項		汝南郡		故国	以故国为名					
35	南頓		汝南郡		故顿子国，姬姓	以故国为名					
36	隨		南阳郡		故国	以故国为名					
37	鄧		南阳郡		故国	以故国为名					
38	舒		庐江郡		故国	以故国为名					
39	蕭		沛郡		故萧叔国	以故国为名					
40	向		沛郡		故国	以故国为名					
41	郯		东海郡		故国，少昊后，盈姓	以故国为名					
42	繒		东海郡		故国，禹后	以故国为名					
43	徐		临淮郡		故国，盈姓	以故国为名					
44	吳		会稽郡		故国，周太伯所邑	以故国为名					
45	無終		右北平郡		故无终子国	以故国为名					
46	肥纍		真定国		故肥子国	以故国为名					
47	莒		城阳国		故国，盈姓	以故国为名					
48	陳		淮阳国		故国，舜后	以故国为名					
49	任城		东平国		故任国，太昊后	以故国为名					
50	彭城		楚国		故彭祖国	以故国为名					
51	傅陽		楚国		故偪（fu）阳国	以故国为名					
52	六		六安国		故国，皋繇后	以故国为名					
53	蓼		六安国		故国，皋繇后	以故国为名					
54	鄭		京兆尹		周宣王弟郑桓公邑	以旧邑为名					
55	葉		南阳郡		楚叶公邑	以旧邑为名					
56	郢		南郡		楚别邑，故郢	以旧邑为名					
57	班氏		代郡		秦地图书班氏	以旧邑为名					
58	虢		右扶风		虢宫，秦宣太后起也	以旧邑为名					
59	彭澤		豫章郡		《禹贡》：彭蠡泽在西	以山水为名					
60	雒		广汉郡		章山，雒水所出	以山水为名					
61	滇池		益州郡		滇池泽在西北	以山水为名					
62	葉榆		益州郡		叶榆泽在东	以山水为名					
63	鄨		羊柯郡		不狼山，鄨水所出	以山水为名					
64	沮		武都郡		沮水出东狼谷	以山水为名					
65	羌道*		陇西郡		羌水出塞外	以山水为名					
66	居延		张掖郡		居延泽在东北	以山水为名					
67	柳城		辽西郡		参柳水北入海	以山水为名					
68	吞列		乐浪郡		分黎山，列水所出	以山水为名					
69	陽城		颍川郡		阳城山，洧水所出	以山水为名					
70	鬲		平原郡		平当以为鬲津	以山水为名					
71	華陰		京兆尹		太华山在南	因山方位为名					
72	汧		右扶风		吴山在西，古文以为汧山	因山方位为名					
73	山陽		河内郡		东太行山在西北	因山方位为名					
74	蒙陰		泰山郡		《禹贡》：蒙山在西南	因山方位为名					
75	山陰		会稽郡		会稽山在南	因山方位为名					
76	杜陽		右扶风		杜水南入渭	因水方位为名					
77	晉陽		太原郡		晋水所出	因水方位为名					
78	汾陽		太原郡		北山，汾水所出	因水方位为名					
79	蕩陰		河内郡		荡水东至内黄泽	因水方位为名					
80	鄱陽		豫章郡		鄱水西入湖汉	因水方位为名					
81	旬陽		汉中郡		北山，旬水所出	因水方位为名					
82	涇陽		安定郡		《禹贡》：泾水所出，东南至阳陵入渭	因水方位为名					
83	霸水		京兆尹南陵县		古名兹水，秦穆公更名，以彰霸功，视子孙	人物地名					
84	新蔡		汝南郡		蔡平侯自蔡徙此	人物地名					
85	長子		上党郡		周史：辛甲所封**	人物地名					
86	藍田		京兆尹		山出美玉	物产地名					
87	陸渾		弘农郡		春秋迁陆浑戎于此	部族地名					
88	上黨										
89	河內										
90	河內										
91	河南										
92	東										
93	潁川										
94	汝南										
95	汝南										
96	南陽										
97	南陽										
98	廬江										
99	沛										
100	沛										
101	東海										
102	東海										
103	臨淮										
104	會稽										
105	右北平										
106	真定										
107	城陽										
108	淮陽										
109	東平										
110	楚										
111	楚										
112	六安										
113	六安										
114	京兆尹										
115	南陽										
118	右扶風										
119	豫章										
120	廣漢										
121	益州										
122	益州										
123	羊柯										
124	武都										
125	隴西										
126	張掖										
127	遼西										
128	樂浪										
129	潁川										
130	平原										
131	京兆尹										
132	右扶風										
133	河內										
134	泰山										
135	會稽										
136	右扶風										
137	太原										
138	太原										
139	河內										
140	豫章										
141	漢中										
142	安定										
143	南陵										
144	汝南										
145	上黨										
146	京兆尹										
147	弘農										
148	陽翟										
149	平輿										
150	相縣										
151	睢陽										
152	彭城										
153	徐縣										
154	廣陵										
155	淩縣										
156	郯縣										
157	魯縣										
158	東武										
159	掖縣										
160	即墨										
161	高密										
162	營陵										
163	劇縣										
164	臨淄										
165	千乘										
166	東平陵										
167	平原										
168	長子										
169	晉陽										
170	善無										
171	代縣										
172	成樂										
173	雲中										
174	鄴縣										
175	邯鄲										
176	廣										
177	清陽										
178	信都										
179	樂成										
180	巨鹿										
181	真定										
182	元氏										
183	盧奴										
184	濮陽										
185	定陶										
186	陳留										
187	陳縣										
188	浮陽										
189	涿縣										
190	薊縣										
191	沮陽										
192	漁陽										
193	平剛										
194	陽樂										
195	襄平										
196	高句麗										
197	朝鮮										
198	西城										
199	武都										
200	梓潼										
201	成都										
202	江州										
203	僰道										
204	邛都										
205	滇池										
206	蘭且										
207	高平										
208	平壤										
209	狄道										
210	允吾										
211	姑臧										
212	觻得										
213	祿福										
214	敦煌										
215	宛縣										
216	西陵										
217	江陵										
218	臨沅										
219	泉陵										
220	郴縣										
221	陰陵										
222	舒縣										
223	宛陵										
224	吳縣										
225	山陰										
226	南昌										
227	番禺										
228	廣信										
229	合浦										
230	布山										
231	龍編										
232	胥浦										
233	西卷										
234	豫州										
235	交州										
236	揚州										
237	荊州										
238	涼州										
239	益州										
240	幽州										
241	青州										
242	潁川										
243	汝南										
244	沛										
245	梁國										
246	楚國										
247	臨淮										
248	廣陵國										
249	泗水國										
250	東海										
251	魯國										
252	琅邪										
253	東萊										
254	膠東國										
255	高密國										
256	北海										
257	甾川國										
258	齊										
259	千乘										
260	濟南										
261	平原										
262	上黨										
263	太原										
264	雁門										
265	代										
266	定襄										
267	雲中										
268	魏										
269	趙國										
270	廣平國										
271	清河										
272	信都國										
273	河間國										
274	巨鹿										
275	真定國										
276	常山										
277	中山國										
278	東										
279	濟陰										
280	陳留										
281	淮陽國										
282	渤海										
283	涿										
284	廣陽國										
285	上穀										
286	漁陽										
287	右北平										
288	遼西										
289	遼東										
290	玄菟										
291	樂浪										
292	漢中										
293	武都										
294	廣漢										
295	蜀										
296	巴										
297	犍為										
298	越巂										
299	益州										
300	牂牁										
301	安定										
302	天水										
303	隴西										
304	城金										
305	武威										
306	張掖										
307	酒泉										
308	敦煌										
309	南陽										
310	江夏										
311	南										
312	武陵										
313	零陵										
314	桂陽										
315	九江										
316	廬江										
317	丹陽										
318	吳										
319	會稽										
320	豫章										
321	南海										
322	蒼梧										
323	合浦										
324	郁林										
325	交趾										
326	九真										
327	日南										
336	陽翟										
337	長社										
338	潁陰										
339	陽城										
340	崇高										
341	綸氏										
342	周承休										
343	成安										
344	郟縣										
345	父城										
346	潁陽										
347	襄城										
348	昆陽										
349	舞陽										
350	定陵										
351	郾縣										
352	臨潁										
353	新汲										
354	許縣										
355	鄢陵										
356	平輿										
357	南頓										
358	博陽										
359	汝陽										
360	陽城										
361	西華										
362	長平										
363	召陵										
364	定陵										
365	上蔡										
366	灈陽										
367	吳房										
368	西平										
369	陽安										
370	安昌										
371	郎陵										
372	成陽										
373	宜春										
374	安成										
375	慎陽										
376	安陽										
377	新息										
378	弋陽										
379	新蔡										
380	期思										
381	富波										
382	慎縣										
383	汝陰										
384	細陽										
385	銅陽										
386	宜祿										
387	新陽										
388	新郪										
389	項縣										
390	相縣										
391	扶陽										
392	蕭縣										
393	沛縣										
394	豐縣										
395	芒縣										
396	敬丘										
397	建平										
398	粟國										
399	祁鄉										
400	酂縣										
401	譙縣										
402	城父										
403	建成										
404	鄲縣										
405	竹縣										
406	銍縣										
407	山桑										
408	龍亢										
409	平阿										
410	下蔡										
411	向縣										
412	義成										
413	蘄縣										
414	谷陽										
415	符離										
416	虹縣										
417	夏丘										
418	廣戚										
419	睢陽										
420	蒙縣										
421	黃國										
422	甾縣										
423	已氏										
424	虞縣										
425	下邑										
426	杼秋										
427	碭縣										
428	彭城										
429	留縣										
430	武原										
431	傅陽										
432	呂縣										
