ID	时代	姓名	生卒年	年号	庙号	在位时间	陵寝地	谥号	属系排行
131				建元					
132				元光					
133				元朔					
134				元狩					
135				元鼎					
136				元封					
137				太初					
138				天漢					
139				太始					
140				征和					
141				後元					
142				始元					
143				元鳳					
144				元平					
145				本始					
146				地節					
147				元康					
148				神爵					
149				五鳳					
150				甘露					
151				黃龍					
152				初元					
153				永光					
154				建昭					
155				竟寧					
156				建始					
157				河平					
158				陽朔					
159				鴻嘉					
160				永始					
161				元延					
162				綏和					
163				建平					
164				太初					
165				元壽					
166				元始					
167				居攝					
168				初始					
169				始建國					
170				天鳳					
171				地皇					
172				更始					
173				建武					
174				中元					
175				永平					
176				建初					
177				元和					
178				章和					
179				永元					
180				元興					
181				延平					
182				永初					
183				元初					
184				永寧					
185				建光					
186				延光					
187				永建					
188				陽嘉					
189				永和					
190				漢安					
191				建康					
192				永嘉					
193				本初					
194				建和					
195				和平					
196				元嘉					
197				永興					
198				永壽					
199				延熹					
200				永康					
201				建寧					
202				熹平					
203				光和					
204				中平					
205				光熹					
206				昭寧					
207				永漢					
208				初平					
209				興平					
210				建安					
211				延康					
