职官ID	职官名	说明	隶属职官ID
1	丞相	金印紫绶，秩俸万石。	0
2	丞相司直	辅佐丞相，检举不法，秩俸千石。	0
3	丞相長史	辅佐丞相，督率诸吏，处理各种政务，秩俸比千石。	0
4	丞相征事	秩俸比六百石。	0
5	丞相史	秩俸四百石。	0
6	丞相少史	秩俸三百石。	0
7	東曹掾	领郡国事，主长史的任命，外出督州郡，秩俸比四百石。	0
8	西曹掾	领百官奏事，主府中吏之进退，秩俸比四百石。	0
9	議曹	主谋议事。	0
10	辭曹	主评讼事。	0
11	奏曹	主章奏事。	0
12	賊曹	主盗贼事。	0
13	決曹	主罪法事。	0
14	集曹	主簿计事，秩俸比三百石。	0
15	戶曹	主民户祭祀农桑事。	0
16	法曹	主邮驿科程事。	0
17	尉曹	主卒徒转运事。	0
18	倉曹	主仓谷事。	0
19	兵曹	主兵事。	0
20	金曹	主钱币盐铁事。	0
21	計相	主郡国上计事。	0
22	主簿	省录众事。	0
23	侍曹	主通报事。	0
24	太尉	专掌武事，秩俸万石，金印紫绶	0
25	御史大夫	秩俸是中二千石，银印青绶。	0
26	太常卿	秩俸中二千石，银印青绶，掌宗庙礼仪。	0
27	太常丞	秩俸千石，铜印黑绶，掌凡祭祀及行礼之事，总署曹事，典诸陵邑。	0
28	贊饗	秩俸六百石，铜印黑绶，掌赞天子。	0
29	禮官大夫	千石至六百石，散职无印，是太常礼仪顾问。	0
30	太常掾	秩俸四百石，铜印黑绶，助太常丞。	0
31	掌故	秩俸六百石，铜印黑绶，主政事。	0
32	均都長丞	主山陵上槁输入。	0
33	都水長丞	主宗庙陵园治水堤。	0
34	曲台署長	主典台殿事。	0
35	太史令	秩俸六百石，铜印黑绶，掌天时，星历。	0
36	太史丞	秩俸四百石，铜印黑绶，辅佐太史令。	0
37	侍詔	秩俸二百石，分掌星历，龟卜，请雨事。	0
38	治曆	主历法。	0
39	太常掾	秩俸四百石，铜印黑绶，助太常丞。	0
40	掌故	秩俸二百石，主故事，掌历史上国家祭祀，丧娶事。	0
41	大典星	掌星历。	0
42	望氣佐	主望气。	0
43	明堂丞	秩俸二百石，铜印黄绶，掌守明堂。	0
44	靈台丞	秩俸二百石，铜印黄绶，掌守灵台。	0
45	靈台侍詔	分掌星，日，天象，钟律之事。	0
46	太樂令	秩俸六百石，铜印黑绶，凡国祭祀，掌请奏乐及大飨用乐之事。	0
47	太樂丞	秩俸四百石，铜印黑绶，太乐令助手。	0
48	員吏	秩俸百石，太乐丞手下的具体办事者。	0
49	樂人八佾舞	凡祭祀时为之乐舞。	0
50	太祝令	秩俸六百石，铜印黑绶，凡国祭祀时掌读祝词及迎送诸神。	0
51	太祝丞	秩俸四百石，铜印黑绶，掌祝小神事。	0
52	員吏	秩俸百石至斗食，协助令，丞。	0
53	祝人	祭祀时司告鬼神的人。	0
54	宰人	主厨。	0
55	太宰令	秩俸六百石，铜印黑绶，凡国祭祀时掌陈馔具。	0
56	太宰丞	秩俸四百石，铜印黑绶，掌宰工鼎俎馔具之物。	0
57	明堂丞	秩俸二百石，铜印黑绶，凡国祭祀掌明堂馔具。	0
58	員吏	百石至斗食，太宰丞下具体办事者。	0
59	宰人	主厨。	0
60	屠者	主屠牲。	0
61	衛士	主警卫。	0
62	太蔔令	秩俸六百石，铜印黑绶，国有大事时主卜问。	0
63	太蔔丞	秩俸三百石，铜印黄绶，助佐太卜令。	0
64	員吏	具体办事者。	0
65	太醫令	秩俸六百石，铜印黑绶，掌医药。	0
66	太醫丞	秩俸四百石，铜印黑绶，掌医药。	0
67	太醫	掌医药。	0
68	令史	秩俸六百石，铜印黑绶，守宗庙，掌案行扫除。	0
69	食監	秩俸六百石，铜印黑绶，主食官令号。	0
70	丞	秩俸四百石，铜印黑绶，助令守庙。	0
71	校長	秩俸四百石，铜印黑绶，主宗庙寝兵戎盗贼事。	0
72	監丞	秩俸三百石，铜印黄绶，食监助手。	0
73	中黃門	食监助手。	0
74	廟郎	主宗庙。	0
75	寢郎	主守寝。	0
76	園郎	主守园。	0
77	員吏		0
78	衛士	主诸庙陵园警卫。	0
79	祭酒	秩俸六百石，铜印黑绶，主教育。	0
80	博士	秩俸比六百石，掌教育弟子，国有疑问，掌承问对。	0
81	博士弟子		0
82	歌吹諸生		0
83	光祿卿	秩俸中二千石，银印青绶，	0
84	光祿丞	秩俸千石，	0
85	車郎將	秩俸比千石，	0
86	戶郎將	秩俸比千石，	0
87	騎郎將	秩俸比千石，此三郎将统称郎中三将，主宿卫护从。	0
88	做中郎將	秩俸比二千石，	0
