虚词ID	字段1	虚词名	词性	意义类别	解释	例子	语法位置
1	而	而	连词	表并列	又，或不译	北救赵而西却秦，此五霸之伐也	“而”前后句式/词性一致
2	其	而	连词	表递进	并且，而且	君子博学而日参省乎己。	意思有递进
3	之	而	连词	表承接	就，接着，或不译	置之地，拔剑撞而破之。	有先后关系
4	焉	而	连词	表转折	但是，却，可是	青，取之于蓝，而青于蓝	 
5	以	而	连词	表假设	如果，假如	诸君而有意，瞻予马首可也。	 
6	於	而	连词	表修饰	着，地	项王按剑而跽曰：“客何为者？”	连接状语和中心语（谓前状）
7	者	而	连词	表因果	因而，因此	表恶其能而不用也	 
8	為	而	连词	表目的	不译	籍吏民，封府库，而待将军	 
9	相	而	通假字	通“尔”	你的（代词）；		
10	見	而	通假字	你（主语）	而翁归，自与汝复算耳	用作代词，第二人称；偶尔也作主语	
11	則	而	通假字	通“如”	好像，如同。	军惊而坏都舍。	 
12	獨	其	代词	第三人称代词	他（们）的，它（们）的	臣从其计，大王亦幸赦臣。	代人/物，名词前，作领属性定语
13	特	其	代词	第三人称代词	他（们），它（们）	秦王恐其破壁。	动词、形容词前，作主谓短语中的小主语
14	但	其	代词	第一、二人称	我（自己）；你	而余亦悔其随之而不得极夫游之乐也。	动词、形容词前，作主谓短语中的小主语
15	惟	其	代词	第一、二人称	我的；你的；自己的	老臣以媪为长安君计短也，故以为其爱不若燕后	名词前，作定语
16	僅	其	代词	表远指（常用）	那，那个，那些，那里	今操得荆州，奄有其地。	动词、名词前
17	止	其	代词	表近指	这，这个，这些，这种	有蒋氏者，专其利三世矣。今存其本不忍废。（其：这）	名词、形容词前，动词后
18	徒	其	代词	指示代词	其中的	于乱石间择其一二扣之。	后跟数词
19	直	其	语气副词	表揣测	大概，恐怕，或许，可能	王之好乐甚，则齐国其庶几乎？其真无马邪？其真不知马也。	句首或句中
20	第	其	语气副词	表反问	难道，怎么；不译	且行千里，其谁不知？其真无马邪？其真不知马也。	疑问句句首
21	然	其	语气副词	表祈使	可，可要，还是	攻之不克，围之不继，吾其还也。与尔三矢，尔其无忘乃父之志！	后跟动词
22	爾	其	连词	表假设	如果	沛然下雨，则苗浡然兴之矣。其若是，孰能御之？	句首
23	乎	其	连词	表选择	是…还是…	呜呼！其信然邪？其梦邪？其传之非其真邪？	
24	若 	其	助词	音节助词	调整音节的作用	路曼曼其修远兮，吾将上下而求索	句中
25	如	其	词组	何其	多么	至于誓天断发，泣下沾襟，何其衰也!	 
26	何	之	代词	第三人称代词（指对话的两个人之外的人）（做宾语）	他（们）、她、它（们）	太后盛气而揖之。	动词（谓语）后
27	且	之	代词	第一、   二人称（指对话的两个人中的某一个）（做宾语）	我；你。	不知将军宽之至此也。然语之，又恐汝日日为吾担忧。	动词（谓语）后
28	若	之	代词	表近指	这，此，这个，这些，这种	之二虫又何知。均之二策	名词前或动词后
29	因	之	代词	指示代词	的	君子成人之美，不成人之恶	定语和中心语之间
30	乃	之	助词	结构助词	得，或不译，	未若复吾赋不幸之甚也	中心语和补语之间
