字头 字段	词性 字段	NumberOfDups
阿	名詞	4
哀	動詞	2
哀	名詞	2
愛	動詞	14
愛	形容詞	2
安	動詞	3
安	副詞	2
安	名詞	54
安	形容詞	13
案	動詞	2
豻	名詞	1
肮	形容詞	1
盎	名詞	2
敖	動詞	2
敖	名詞	2
敖	形容詞	1
驁	形容詞	1
八	動詞	8
八	名詞	100
八	數詞	127
八	數量詞	9
犮	動詞	2
拔	動詞	4
胈	名詞	1
把	動詞	10
把	介詞	2
鲅	副詞	2
罷	名詞	1
白	代詞	1
白	名詞	29
白	形容詞	12
百	名詞	57
百	數詞	192
百	數量詞	1
百	形容詞	2
佰	名詞	2
柏	名詞	1
柏	形容詞	1
敗	動詞	12
敗	名詞	3
敗	形容詞	4
稗	名詞	2
粺	名詞	24
般	名詞	1
瘢	名詞	1
阪	名詞	2
版	名詞	1
半	動詞	5
半	名詞	14
半	數詞	115
半	數量詞	1
绊	動詞	1
绊	名詞	1
邦	動詞	3
邦	名詞	61
绑	名詞	1
謗	動詞	1
包	動詞	6
苞	動詞	1
剝	動詞	1
保	名詞	3
鸨	名詞	1
葆	動詞	5
葆	名詞	6
飽	名詞	1
抱	動詞	1
豹	名詞	4
報	動詞	2
報	名詞	4
鲍	名詞	2
暴	名詞	3
暴	形容詞	3
卑	名詞	1
杯	量詞	4
杯	名詞	3
桮	量詞	1
桮	名詞	1
悲	形容詞	1
鹎	動詞	1
北	動詞	15
北	名詞	218
北	形容詞	2
貝	名詞	3
倍	動詞	16
被	動詞	5
被	形容詞	1
備	動詞	6
備	名詞	1
備	形容詞	41
奔	動詞	3
奔	名詞	1
賁	動詞	2
本	名詞	2
本	形容詞	1
畚	量詞	1
鲾	動詞	1
鼻	名詞	19
鼻	形容詞	1
匕	名詞	1
匕	數量詞	1
比	動詞	22
比	副詞	3
比	名詞	3
疕	名詞	1
彼	代詞	3
彼	動詞	3
彼	名詞	28
彼	形容詞	2
彼	助詞	1
柀	動詞	2
柀	副詞	2
柀	介詞	1
柀	名詞	18
筆	名詞	1
鄙	形容詞	2
必	動詞	2
必	副詞	242
必	連詞	1
畀	動詞	11
畁	動詞	1
畁	名詞	1
陛	名詞	1
畢	副詞	3
畢	名詞	13
婢	名词	1
婢	名詞	2
敝	名詞	1
敝	形容詞	4
閉	動詞	21
閉	名詞	48
痹	名詞	2
辟	動詞	4
辟	名詞	16
幣	名詞	1
壁	動詞	1
壁	名詞	2
廦	名詞	3
觱	動詞	3
避	動詞	1
避	名詞	4
臂	名詞	3
鞞	形容詞	2
繴	名詞	1
鳊	名詞	1
邊	名詞	6
扁	動詞	1
扁	副詞	1
扁	名詞	1
扁	形容詞	4
便	名詞	2
便	形容詞	3
辨	副詞	1
辨	名詞	5
變	動詞	5
變	名詞	1
杓	動詞	2
杓	名詞	5
杓	形容詞	1
麃	名詞	1
麃	形容詞	1
表	名詞	5
鳔	名詞	3
鳖	動詞	1
鼈	名詞	1
别	動詞	9
别	副詞	4
賓	名詞	15
賓	數詞	1
兵	名詞	40
丙	代詞	76
丙	動詞	1
丙	名詞	283
秉	名詞	2
柄	名詞	1
并	動詞	25
并	副詞	1
并	名詞	2
病	動詞	43
病	介詞	1
病	名詞	68
竝	副詞	2
波	動詞	4
波	名詞	1
播	動詞	1
犻	動詞	1
帛	名詞	2
博	名詞	1
鲌	形容詞	1
薄	形容詞	1
逋	動詞	5
誧	副詞	2
餔	名詞	2
卜	動詞	12
卜	名詞	5
捕	動詞	31
捕	名詞	1
補	動詞	13
補	形容詞	1
不	動詞	67
不	副詞	1092
不	連詞	2
不	名詞	12
不	形容詞	77
布	代詞	1
布	動詞	7
布	量詞	3
布	名詞	38
步	動詞	5
步	量詞	204
步	名詞	10
步	數詞	5
步	數量詞	14
步】	數量詞	1
部	名詞	6
才	動詞	5
才	介詞	2
才	名詞	1
材	動詞	17
材	名詞	14
財	動詞	2
財	名詞	7
采	動詞	2
采	名詞	6
蔡	動詞	1
蔡	名詞	5
參	動詞	7
參	副詞	1
參	名詞	21
參	數詞	10
參	形容詞	1
蠶	名詞	3
粲	動詞	1
粲	名詞	6
倉	名詞	71
蒼	形容詞	11
操	動詞	18
操	形容詞	2
糙	名詞	3
曹	動詞	1
曹	名詞	12
草	動詞	1
草	名詞	15
廁	名詞	1
岑	形容詞	2
察	動詞	5
差	動詞	1
豺	名詞	4
茝	名詞	2
蠆	名詞	1
毚	副詞	2
毚	名詞	3
纏	動詞	1
產	動詞	14
產	名詞	4
産	動詞	2
昌	名詞	5
昌	形容詞	10
鲳	動詞	6
鲳	形容詞	1
長	代詞	1
長	動詞	7
長	名詞	47
長	形容詞	44
常	動詞	1
常	名詞	16
腸	動詞	1
腸	名詞	12
腸	形容詞	1
嘗	副詞	1
償	動詞	2
畼	名詞	1
巢	動詞	2
朝	名詞	34
鼂	名詞	1
車	動詞	2
車	名詞	49
徹	動詞	6
徹	名詞	8
勶	動詞	2
勶	名詞	2
瞋	動詞	1
臣	代詞	1
臣	名詞	99
辰	動詞	1
辰	名詞	392
辰	數詞	1
陳	動詞	1
陳	名詞	1
陳	形容詞	3
晨	名詞	14
晨	數詞	1
稱	動詞	3
爯	動詞	11
爯	形容詞	1
丞	名詞	53
成	動詞	97
成	名詞	50
成	形容詞	1
城	名詞	104
乘	動詞	102
乘	量詞	1
乘	名詞	27
程	動詞	6
程	名詞	26
誠	動詞	1
誠	副詞	2
澄	形容詞	2
杘	名詞	2
癡	形容詞	1
池	動詞	1
池	名詞	9
馳	動詞	1
馳	名詞	5
尺	量詞	103
尺	名詞	1
尺	數詞	4
尺	數量詞	2
齒	動詞	1
齒	名詞	7
赤	動詞	2
赤	副詞	1
赤	名詞	15
赤	形容詞	25
赤	助詞	1
迣	動詞	2
迣	名詞	5
啻	動詞	9
啻	副詞	1
啻	量詞	1
啻	名詞	6
啻	形容詞	5
飭	動詞	1
舂	動詞	4
舂	名詞	36
衝	動詞	14
衝	名詞	3
虫	名詞	14
蟲	名詞	3
寵	名詞	4
寵	形容詞	2
瘳	動詞	5
瘳	名詞	1
稠	形容詞	2
疇	名詞	2
讎	動詞	3
讎	名詞	2
丑	動詞	2
丑	名詞	374
丑	數量詞	1
醜	動詞	1
醜	名詞	1
醜	形容詞	1
臭	名詞	1
臭	形容詞	1
出	代詞	1
出	動詞	223
出	介詞	1
出	名詞	9
出	數詞	1
出	形容詞	2
出	助詞	3
初	動詞	10
初	副詞	2
初	名詞	4
初	數量詞	1
貙	名詞	1
除	動詞	70
除	名詞	49
除	數詞	1
芻	名詞	28
杵	名詞	2
楮	動詞	2
楚	名詞	13
楚	形容詞	1
绌	代詞	1
埱	動詞	2
處	動詞	11
處	名詞	11
處	形容詞	1
川	名詞	1
穿	動詞	12
穿	名詞	1
船	名詞	9
傳	動詞	9
傳	名詞	10
